Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1558216800.0 1.0 83 81 137 NA NA NA NA NA 176 368 244 NA NA NA NA NA 1688 373 271 NA NA NA NA NA 1009 426 428 NA NA NA NA NA
1558216800.0 10.0 NA 115 481 0 NA NA NA NA NA 376 580 0 NA NA NA NA NA 2273 2227 397 NA NA NA NA NA 1249 1055 414 NA NA NA NA
1558216800.0 1000.0 NA 472 151 0 48 NA NA NA NA 588 248 0 91 NA NA NA NA 2399 979 558 144 NA NA NA NA 3446 1355 652 267 NA NA NA
1558216800.0 10003.0 NA 193 653 81 0 NA NA NA NA 480 819 132 0 NA NA NA NA 765 1250 222 1722 NA NA NA NA 921 1521 372 1748 NA NA NA
1558216800.0 10004.0 NA 188 655 90 0 NA NA NA NA 474 812 133 0 NA NA NA NA 707 1152 214 1737 NA NA NA NA 884 1060 271 1765 NA NA NA
1558216800.0 10005.0 NA 190 651 80 0 NA NA NA NA 480 814 133 0 NA NA NA NA 620 1029 203 1701 NA NA NA NA 784 1605 350 1721 NA NA NA
1558216800.0 10008.0 NA 190 629 91 0 NA NA NA NA 481 818 143 0 NA NA NA NA 632 1218 223 1671 NA NA NA NA 1418 2631 318 1695 NA NA NA
1558216800.0 10009.0 NA 192 640 91 0 NA NA NA NA 488 808 144 0 NA NA NA NA 658 1135 224 1700 NA NA NA NA 928 1445 327 1723 NA NA NA
1558216800.0 1001.0 NA 444 386 0 0 0 0 0 NA 534 462 0 0 0 0 0 NA 1960 539 8 24 748 27 700 NA 1010 536 14 33 757 32 709
1558216800.0 1002.0 NA 477 64 NA NA NA NA NA NA 552 123 NA NA NA NA NA NA 2067 309 NA NA NA NA NA NA 1159 211 NA NA NA NA NA
1558216800.0 10023.0 NA 191 655 81 0 NA NA NA NA 481 819 133 0 NA NA NA NA 725 1177 216 1814 NA NA NA NA 787 1126 273 1833 NA NA NA
1558216800.0 10024.0 NA 224 590 92 0 NA NA NA NA 488 835 144 0 NA NA NA NA 855 1599 228 1723 NA NA NA NA 1500 3226 370 1744 NA NA NA
1558216800.0 10024.1 NA 214 268 0 NA NA NA NA NA 480 398 0 NA NA NA NA NA 977 521 252 NA NA NA NA NA 1134 500 270 NA NA NA NA
1558216800.0 10024.2 NA 213 675 0 NA NA NA NA NA 482 836 0 NA NA NA NA NA 946 1503 1801 NA NA NA NA NA 1244 1130 1822 NA NA NA NA
1558216800.0 10024.3 NA 219 243 0 NA NA NA NA NA 474 350 0 NA NA NA NA NA 914 509 214 NA NA NA NA NA 1048 635 240 NA NA NA NA
1558216800.0 10024.4 NA 217 676 0 NA NA NA NA NA 480 839 0 NA NA NA NA NA 930 1528 1781 NA NA NA NA NA 821 1618 1809 NA NA NA NA
1558216800.0 10024.5 NA 214 269 0 NA NA NA NA NA 487 390 0 NA NA NA NA NA 950 520 244 NA NA NA NA NA 1188 519 252 NA NA NA NA
1558216800.0 10024.6 NA 216 671 0 NA NA NA NA NA 474 830 0 NA NA NA NA NA 980 1572 1801 NA NA NA NA NA 1091 1247 1824 NA NA NA NA
1558216800.0 10025.0 NA 202 665 87 0 NA NA NA NA 480 819 134 0 NA NA NA NA 879 1300 221 1834 NA NA NA NA 896 1078 262 1857 NA NA NA
1558216800.0 10026.0 NA 221 677 87 0 NA NA NA NA 487 847 134 0 NA NA NA NA 1026 1701 230 1866 NA NA NA NA 882 1221 291 1899 NA NA NA
1558216800.0 1003.0 NA 408 0 NA NA NA NA NA NA 511 0 NA NA NA NA NA NA 2871 501 NA NA NA NA NA NA 1325 517 NA NA NA NA NA
1558216800.0 1004.0 NA 352 368 0 0 0 0 NA NA 460 445 0 0 0 0 NA NA 646 368 8 25 733 713 NA NA 803 396 14 32 771 719 NA
1558216800.0 10042.0 NA 197 660 92 0 NA NA NA NA 480 821 144 0 NA NA NA NA 746 1187 221 1723 NA NA NA NA 858 1007 296 1748 NA NA NA
1558216800.0 10071.0 NA 216 668 91 0 NA NA NA NA 481 827 142 0 NA NA NA NA 787 1492 245 1766 NA NA NA NA 1521 1926 370 1797 NA NA NA
1558216800.0 101.0 80 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 800 NA NA NA NA NA NA NA 1029 NA NA NA NA NA NA NA
1558216800.0 1010.0 NA 28 68 0 NA NA NA NA NA 73 122 0 NA NA NA NA NA 24 104 30 NA NA NA NA NA 97 134 174 NA NA NA NA
1558216800.0 102.0 81 NA NA NA NA NA NA NA 151 NA NA NA NA NA NA NA 602 NA NA NA NA NA NA NA 820 NA NA NA NA NA NA NA
