Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1558216800.0 1.0 103 90 199 NA NA NA NA NA 186 367 297 NA NA NA NA NA 1565 566 1038 NA NA NA NA NA 1205 545 1573 NA NA NA NA NA
1558216800.0 10.0 NA 120 415 0 NA NA NA NA NA 368 574 0 NA NA NA NA NA 2962 4089 617 NA NA NA NA NA 2510 2850 742 NA NA NA NA
1558216800.0 1000.0 NA 346 156 0 47 NA NA NA NA 506 259 0 89 NA NA NA NA 2924 1341 649 283 NA NA NA NA 3012 1654 729 377 NA NA NA
1558216800.0 10001.0 NA 217 653 83 0 NA NA NA NA 487 793 136 0 NA NA NA NA 1893 2909 502 2133 NA NA NA NA 4223 3565 929 3345 NA NA NA
1558216800.0 10002.0 NA 211 658 87 0 NA NA NA NA 486 822 135 0 NA NA NA NA 2054 2794 454 2074 NA NA NA NA 4478 3018 597 2162 NA NA NA
1558216800.0 10003.0 NA 222 662 84 0 NA NA NA NA 478 826 136 0 NA NA NA NA 2199 3671 614 2446 NA NA NA NA 4677 8349 931 2536 NA NA NA
1558216800.0 10004.0 NA 201 662 85 0 NA NA NA NA 486 825 136 0 NA NA NA NA 1515 2357 480 1843 NA NA NA NA 2349 2395 840 1935 NA NA NA
1558216800.0 10005.0 NA 192 665 91 0 NA NA NA NA 479 818 134 0 NA NA NA NA 1536 2427 421 1947 NA NA NA NA 2578 2690 684 2069 NA NA NA
1558216800.0 10006.0 NA 218 649 84 0 NA NA NA NA 479 826 134 0 NA NA NA NA 1455 2401 384 1937 NA NA NA NA 2494 4466 576 2017 NA NA NA
1558216800.0 10007.0 NA 205 666 94 0 NA NA NA NA 479 827 145 0 NA NA NA NA 2060 2713 527 2134 NA NA NA NA 5771 2764 1017 2326 NA NA NA
1558216800.0 10008.0 NA 218 545 95 0 NA NA NA NA 478 824 144 0 NA NA NA NA 1931 3001 479 2206 NA NA NA NA 4735 3785 660 2337 NA NA NA
1558216800.0 10009.0 NA 218 598 104 0 NA NA NA NA 479 825 145 0 NA NA NA NA 1885 2878 460 2165 NA NA NA NA 3980 3238 576 2355 NA NA NA
1558216800.0 1001.0 NA 365 177 0 0 0 0 0 NA 459 231 0 0 0 0 0 NA 2472 653 74 92 260 125 255 NA 1678 968 180 144 295 178 307
1558216800.0 1002.0 NA 422 68 NA NA NA NA NA NA 515 123 NA NA NA NA NA NA 3056 474 NA NA NA NA NA NA 2240 395 NA NA NA NA NA
