Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1558216800.0 10023.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 10024.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 10024.2 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 10024.3 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 10024.4 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 10024.5 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 10024.6 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 10025.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 10042.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 101.0 83 NA NA NA NA 150 NA NA NA NA 991 NA NA NA NA 2242 NA NA NA NA
1558216800.0 102.0 85 NA NA NA NA 150 NA NA NA NA 803 NA NA NA NA 2066 NA NA NA NA
1558216800.0 1020.0 NA 37 NA NA NA NA 112 NA NA NA NA 262 NA NA NA NA 944 NA NA NA
1558216800.0 10224.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 10225.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 123.3 262 NA NA NA NA 502 NA NA NA NA 1109 NA NA NA NA 1129 NA NA NA NA
1558216800.0 124.1 308 NA NA NA NA 505 NA NA NA NA 1114 NA NA NA NA 1117 NA NA NA NA
1558216800.0 124.4 304 NA NA NA NA 501 NA NA NA NA 1117 NA NA NA NA 1159 NA NA NA NA
1558216800.0 124.5 305 NA NA NA NA 501 NA NA NA NA 1125 NA NA NA NA 1120 NA NA NA NA
1558216800.0 1307.0 NA 96 180 42 0 NA 375 265 87 0 NA 568 774 166 271 NA 1205 1210 296 421
1558216800.0 1325.8 NA 165 0 NA NA NA 239 0 NA NA NA 2746 154 NA NA NA 4807 301 NA NA
1558216800.0 135.8 142 NA NA NA NA 234 NA NA NA NA 483 NA NA NA NA 1741 NA NA NA NA
1558216800.0 136.7802 NA 131 0 NA NA NA 188 0 NA NA NA 463 237 NA NA NA 736 375 NA NA
1558216800.0 2017.8 182 NA NA NA NA 274 NA NA NA NA 544 NA NA NA NA 706 NA NA NA NA
1558216800.0 250200.17 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 250202.17 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 250203.17 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 250204.17 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 250205.17 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 250206.17 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 250207.17 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 250208.17 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1558216800.0 25211.17 69 0 NA NA NA 133 0 NA NA NA 4134 0 NA NA NA 4624 0 NA NA NA
1558216800.0 25212.17 73 0 NA NA NA 135 0 NA NA NA 4647 0 NA NA NA 4142 0 NA NA NA
1558216800.0 25213.17 69 0 NA NA NA 131 0 NA NA NA 4872 0 NA NA NA 4221 0 NA NA NA
1558216800.0 4007.0 57 95 438 NA NA 118 383 554 NA NA 1601 469 1925 NA NA 2812 1272 2381 NA NA
1558216800.0 5.2 266 0 NA NA NA 509 0 NA NA NA 1131 285 NA NA NA 1289 380 NA NA NA
1558216800.0 5.3 267 0 NA NA NA 502 0 NA NA NA 1134 289 NA NA NA 1265 491 NA NA NA
1558216800.0 5.4 312 0 NA NA NA 501 0 NA NA NA 1265 301 NA NA NA 1623 459 NA NA NA
1558216800.0 503.0 36 0 NA NA NA 79 0 NA NA NA 236 149 NA NA NA 1015 370 NA NA NA
1558216800.0 504.0 42 0 NA NA NA 80 0 NA NA NA 229 153 NA NA NA 1106 391 NA NA NA
1558216800.0 505.0 36 0 NA NA NA 79 0 NA NA NA 221 149 NA NA NA 662 275 NA NA NA
1558216800.0 506.0 38 0 NA NA NA 79 0 NA NA NA 205 149 NA NA NA 815 277 NA NA NA
1558216800.0 507.0 41 0 NA NA NA 78 0 NA NA NA 230 148 NA NA NA 733 324 NA NA NA
1558216800.0 508.0 39 0 NA NA NA 78 0 NA NA NA 203 150 NA NA NA 1249 365 NA NA NA
1558216800.0 509.0 39 0 NA NA NA 77 0 NA NA NA 184 151 NA NA NA 429 333 NA NA NA
1558216800.0 527.0 16 40 0 NA NA 56 86 0 NA NA 1617 220 149 NA NA 4936 636 330 NA NA
1558216800.0 531.0 50 0 NA NA NA 188 0 NA NA NA 202 151 NA NA NA 489 303 NA NA NA
1558216800.0 534.0 39 0 NA NA NA 93 0 NA NA NA 228 148 NA NA NA 1196 292 NA NA NA
1558216800.0 541.0 42 0 NA NA NA 89 0 NA NA NA 206 151 NA NA NA 451 324 NA NA NA
1558216800.0 545.0 48 0 NA NA NA 91 0 NA NA NA 278 151 NA NA NA 797 337 NA NA NA
1558216800.0 551.0 16 36 0 NA NA 56 85 0 NA NA 1493 219 148 NA NA 2096 899 306 NA NA
1558216800.0 552.0 16 40 0 NA NA 56 86 0 NA NA 1620 236 148 NA NA 4218 909 302 NA NA
1558216800.0 555.0 16 35 0 NA NA 56 85 0 NA NA 1525 207 148 NA NA 2974 439 269 NA NA
1558216800.0 561.0 39 0 NA NA NA 79 0 NA NA NA 215 150 NA NA NA 669 378 NA NA NA
1558216800.0 7.0 57 78 174 55 0 113 358 251 91 0 605 464 687 174 262 2092 2007 905 274 392
1558216800.0 8.0 NA 85 177 43 0 NA 365 255 86 0 NA 1788 839 161 272 NA 1750 1021 275 382
