Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1558216800.0 136.7611 NA 186 0 NA 295 0 NA 7754 243 NA 9750 995
1558216800.0 511.0 45 0 NA 93 0 NA 8843 135 NA 12203 570 NA
1558216800.0 513.0 22 45 0 67 92 0 793 281 194 1882 840 610
1558216800.0 517.0 21 43 0 62 94 0 865 163 114 1809 729 301
1558216800.0 518.0 21 41 0 62 94 0 1846 157 119 9929 646 532
1558216800.0 519.0 20 39 0 62 93 0 581 149 123 1950 549 713
1558216800.0 526.0 21 42 0 62 93 0 2347 294 194 4724 736 606
1558216800.0 528.0 21 40 0 63 93 0 537 164 117 1513 657 434
1558216800.0 529.0 21 46 0 63 93 0 1831 166 123 9929 524 421
1558216800.0 554.0 22 41 0 62 94 0 2438 279 230 3535 729 1733
1558216800.0 555.0 20 38 0 67 86 0 1896 301 224 6590 1398 966
1558216800.0 562.0 20 47 0 66 94 0 551 308 225 2163 1045 1229
