Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1557435600.0 1.0 61 85 189 NA NA NA NA NA NA 116 120 230 NA NA NA NA NA NA 5464 1478 4497 NA NA NA NA NA NA 6228 1630 4732 NA NA NA NA NA NA
1557435600.0 10.0 NA 112 267 0 NA NA NA NA NA NA 187 331 0 NA NA NA NA NA NA 10322 16283 2548 NA NA NA NA NA NA 11853 16615 2646 NA NA NA NA NA
1557435600.0 1000.0 NA 285 167 0 64 NA NA NA NA NA 369 263 0 87 NA NA NA NA NA 4938 2504 1228 509 NA NA NA NA NA 5083 2663 1288 629 NA NA NA NA
1557435600.0 10001.0 NA 112 329 0 75 NA NA NA NA NA 192 378 0 112 NA NA NA NA NA 1974 7495 4617 1042 NA NA NA NA NA 2112 7649 4671 1156 NA NA NA NA
1557435600.0 10002.0 NA 114 325 0 75 NA NA NA NA NA 192 378 0 112 NA NA NA NA NA 989 3129 1663 452 NA NA NA NA NA 1096 3319 1729 531 NA NA NA NA
1557435600.0 10003.0 NA 117 331 0 76 NA NA NA NA NA 193 381 0 112 NA NA NA NA NA 874 3071 1656 489 NA NA NA NA NA 986 3398 1687 551 NA NA NA NA
1557435600.0 10004.0 NA 119 327 0 81 NA NA NA NA NA 192 378 0 112 NA NA NA NA NA 1997 8019 4857 1103 NA NA NA NA NA 2131 8266 4968 1251 NA NA NA NA
1557435600.0 10005.0 NA 117 328 0 86 NA NA NA NA NA 192 378 0 112 NA NA NA NA NA 970 2652 1621 485 NA NA NA NA NA 1076 2853 1738 565 NA NA NA NA
1557435600.0 10006.0 NA 118 319 0 77 NA NA NA NA NA 192 374 0 111 NA NA NA NA NA 1972 7598 4741 1046 NA NA NA NA NA 2110 7810 4836 1166 NA NA NA NA
1557435600.0 10007.0 NA 120 328 0 79 NA NA NA NA NA 194 379 0 112 NA NA NA NA NA 886 2662 1658 425 NA NA NA NA NA 1028 2735 1703 565 NA NA NA NA
1557435600.0 10008.0 NA 121 330 0 80 NA NA NA NA NA 194 379 0 112 NA NA NA NA NA 905 2658 1668 434 NA NA NA NA NA 1004 2779 1703 589 NA NA NA NA
