Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1557867600.0 1000.0 NA 282 173 0 55 NA NA NA 368 262 0 86 NA NA NA 14479 6632 3398 1342 NA NA NA 19233 7984 3600 1448 NA NA
1557867600.0 1001.2 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1557867600.0 1002.0 NA 268 73 NA NA NA NA NA 357 114 NA NA NA NA NA 15298 1934 NA NA NA NA NA 17433 2115 NA NA NA NA
1557867600.0 1003.0 NA 235 0 NA NA NA NA NA 322 0 NA NA NA NA NA 16093 2742 NA NA NA NA NA 20686 2918 NA NA NA NA
1557867600.0 1004.0 NA 194 96 0 0 0 0 NA 268 131 0 0 0 0 NA 4179 1282 367 546 1095 1075 NA 7963 2666 833 841 1330 1243
1557867600.0 1010.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1557867600.0 1030.0 NA 118 NA NA NA NA NA NA 201 NA NA NA NA NA NA 2914 NA NA NA NA NA NA 7470 NA NA NA NA NA
1557867600.0 1040.0 NA 286 41 0 NA NA NA NA 369 62 0 NA NA NA NA 63900 604 533 NA NA NA NA 69932 704 807 NA NA NA
1557867600.0 1040.1 NA 67 38 0 NA NA NA NA 145 62 0 NA NA NA NA 1734 735 594 NA NA NA NA 3043 1538 1350 NA NA NA
1557867600.0 1102.0 NA 67 NA NA NA NA NA NA 145 NA NA NA NA NA NA 995 NA NA NA NA NA NA 2776 NA NA NA NA NA
1557867600.0 1301.0 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 715 NA NA NA NA NA NA 2448 NA NA NA NA NA NA
