Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1558126800.0 1.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 10.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1000.0 NA 282 173 0 65 NA NA 368 262 0 86 NA NA 13838 6073 3063 1214 NA NA 16545 6296 3158 1285 NA
1558126800.0 10002.0 NA 86 NA NA NA NA NA 168 NA NA NA NA NA 1494 NA NA NA NA NA 5574 NA NA NA NA
1558126800.0 10003.0 NA 87 NA NA NA NA NA 169 NA NA NA NA NA 1401 NA NA NA NA NA 3838 NA NA NA NA
1558126800.0 10004.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10005.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10007.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10008.0 NA 87 NA NA NA NA NA 169 NA NA NA NA NA 1398 NA NA NA NA NA 3858 NA NA NA NA
1558126800.0 10009.0 NA 87 NA NA NA NA NA 169 NA NA NA NA NA 1509 NA NA NA NA NA 4509 NA NA NA NA
1558126800.0 1001.2 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1002.0 NA 267 73 NA NA NA NA 357 114 NA NA NA NA 13966 1807 NA NA NA NA 14784 1871 NA NA NA
1558126800.0 10023.0 NA 88 NA NA NA NA NA 170 NA NA NA NA NA 1392 NA NA NA NA NA 3767 NA NA NA NA
1558126800.0 10024.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10024.1 NA 90 NA NA NA NA NA 170 NA NA NA NA NA 1469 NA NA NA NA NA 4522 NA NA NA NA
1558126800.0 10024.4 NA 90 NA NA NA NA NA 170 NA NA NA NA NA 1424 NA NA NA NA NA 4146 NA NA NA NA
1558126800.0 10024.5 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10025.0 NA 91 NA NA NA NA NA 173 NA NA NA NA NA 1544 NA NA NA NA NA 5190 NA NA NA NA
1558126800.0 10026.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1004.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10042.0 NA 88 NA NA NA NA NA 169 NA NA NA NA NA 1436 NA NA NA NA NA 4516 NA NA NA NA
1558126800.0 10059.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10071.0 NA 88 NA NA NA NA NA 168 NA NA NA NA NA 1427 NA NA NA NA NA 5338 NA NA NA NA
1558126800.0 102.0 91 NA NA NA NA NA 145 NA NA NA NA NA 3767 NA NA NA NA NA 7711 NA NA NA NA NA
1558126800.0 10224.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10225.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 103.0 0 NA NA NA NA NA 0 NA NA NA NA NA 717 NA NA NA NA NA 3049 NA NA NA NA NA
1558126800.0 1030.0 NA 110 NA NA NA NA NA 194 NA NA NA NA NA 3072 NA NA NA NA NA 9220 NA NA NA NA
1558126800.0 1040.0 NA 285 42 0 NA NA NA 370 63 0 NA NA NA 56427 498 443 NA NA NA 62240 562 623 NA NA
1558126800.0 1040.1 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10424.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 106.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 107.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 108.0 0 NA NA NA NA NA 0 NA NA NA NA NA 675 NA NA NA NA NA 2747 NA NA NA NA NA
1558126800.0 10801.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10802.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10803.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10804.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10805.0 NA 204 353 0 88 170 NA 285 403 0 109 226 NA 8289 8801 8196 1595 2279 NA 13464 9198 8296 1672 2448
1558126800.0 10807.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 7222 NA NA NA NA NA 15503 NA NA NA NA
1558126800.0 10808.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10809.0 NA 212 359 0 95 170 NA 287 407 0 129 228 NA 8587 9395 8209 1882 2326 NA 14025 9701 8298 2044 2472
