Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1558342800.0 1.0 0 NA NA NA 0 NA NA NA 690 NA NA NA 2494 NA NA NA
1558342800.0 10.0 NA 62 NA NA NA 142 NA NA NA 1097 NA NA NA 4057 NA NA
1558342800.0 10002.0 NA 87 NA NA NA 169 NA NA NA 1482 NA NA NA 4855 NA NA
1558342800.0 10003.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 10005.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 10006.0 NA 86 NA NA NA 169 NA NA NA 1469 NA NA NA 4889 NA NA
1558342800.0 10008.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 10023.0 NA 90 NA NA NA 173 NA NA NA 1518 NA NA NA 4946 NA NA
1558342800.0 10024.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 10024.2 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 10024.4 NA 93 NA NA NA 174 NA NA NA 1557 NA NA NA 6076 NA NA
1558342800.0 10042.0 NA 86 NA NA NA 168 NA NA NA 1489 NA NA NA 3505 NA NA
1558342800.0 10071.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1010.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1020.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 103.0 0 NA NA NA 0 NA NA NA 820 NA NA NA 5517 NA NA NA
1558342800.0 1030.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 10424.0 NA 89 NA NA NA 170 NA NA NA 1505 NA NA NA 6337 NA NA
1558342800.0 105.0 0 NA NA NA 0 NA NA NA 689 NA NA NA 2592 NA NA NA
1558342800.0 106.0 0 NA NA NA 0 NA NA NA 821 NA NA NA 5517 NA NA NA
1558342800.0 107.0 0 NA NA NA 0 NA NA NA 690 NA NA NA 2407 NA NA NA
1558342800.0 10824.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 10824.7 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 10826.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 109.0 0 NA NA NA 0 NA NA NA 696 NA NA NA 2881 NA NA NA
1558342800.0 11.0 NA 63 NA NA NA 144 NA NA NA 1157 NA NA NA 4893 NA NA
1558342800.0 110.0 0 NA NA NA 0 NA NA NA 822 NA NA NA 5517 NA NA NA
1558342800.0 11024.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 11025.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 111.0 0 NA NA NA 0 NA NA NA 824 NA NA NA 5515 NA NA NA
1558342800.0 112.0 0 NA NA NA 0 NA NA NA 807 NA NA NA 3821 NA NA NA
1558342800.0 11224.6 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 114.0 0 NA NA NA 0 NA NA NA 681 NA NA NA 2384 NA NA NA
1558342800.0 116.0 0 NA NA NA 0 NA NA NA 699 NA NA NA 2882 NA NA NA
1558342800.0 11624.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 11625.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 11626.0 NA 87 NA NA NA 167 NA NA NA 1415 NA NA NA 4100 NA NA
1558342800.0 11642.0 NA 86 NA NA NA 168 NA NA NA 1406 NA NA NA 4654 NA NA
1558342800.0 117.0 0 NA NA NA 0 NA NA NA 699 NA NA NA 2886 NA NA NA
1558342800.0 118.0 0 NA NA NA 0 NA NA NA 690 NA NA NA 2593 NA NA NA
1558342800.0 119.0 0 NA NA NA 0 NA NA NA 815 NA NA NA 5517 NA NA NA
1558342800.0 120.0 0 NA NA NA 0 NA NA NA 681 NA NA NA 2400 NA NA NA
1558342800.0 12024.0 NA 90 NA NA NA 171 NA NA NA 1511 NA NA NA 6338 NA NA
1558342800.0 121.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA
1558342800.0 122.0 0 NA NA NA 0 NA NA NA 692 NA NA NA 2856 NA NA NA
1558342800.0 123.1 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA
1558342800.0 126.0 0 NA NA NA 0 NA NA NA 673 NA NA NA 2859 NA NA NA
1558342800.0 127.0 0 NA NA NA 0 NA NA NA 822 NA NA NA 5519 NA NA NA
1558342800.0 128.0 0 NA NA NA 0 NA NA NA 681 NA NA NA 2857 NA NA NA
1558342800.0 129.0 0 NA NA NA 0 NA NA NA 812 NA NA NA 5515 NA NA NA
1558342800.0 130.0 0 NA NA NA 0 NA NA NA 806 NA NA NA 3826 NA NA NA
1558342800.0 1301.0 0 NA NA NA 0 NA NA NA 826 NA NA NA 5519 NA NA NA
1558342800.0 1301.17 0 NA NA NA 0 NA NA NA 857 NA NA NA 5517 NA NA NA
1558342800.0 1302.0 0 NA NA NA 0 NA NA NA 811 NA NA NA 3816 NA NA NA
1558342800.0 1302.17 0 NA NA NA 0 NA NA NA 858 NA NA NA 5521 NA NA NA
1558342800.0 1302.18 0 NA NA NA 0 NA NA NA 842 NA NA NA 5520 NA NA NA
1558342800.0 1303.17 0 NA NA NA 0 NA NA NA 852 NA NA NA 5517 NA NA NA
1558342800.0 1304.18 0 NA NA NA 0 NA NA NA 882 NA NA NA 4516 NA NA NA
1558342800.0 1307.0 NA 67 NA NA NA 147 NA NA NA 1114 NA NA NA 4095 NA NA
1558342800.0 1308.0 NA 66 NA NA NA 147 NA NA NA 1091 NA NA NA 4007 NA NA
1558342800.0 1309.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 131.0 0 NA NA NA 0 NA NA NA 702 NA NA NA 2892 NA NA NA
1558342800.0 1310.0 NA 71 NA NA NA 152 NA NA NA 1176 NA NA NA 4858 NA NA
1558342800.0 1311.0 NA 73 NA NA NA 154 NA NA NA 1236 NA NA NA 5139 NA NA
1558342800.0 1313.0 NA 71 NA NA NA 151 NA NA NA 1159 NA NA NA 4101 NA NA
1558342800.0 1314.0 NA 69 NA NA NA 150 NA NA NA 1161 NA NA NA 5290 NA NA
1558342800.0 1319.0 NA 68 NA NA NA 150 NA NA NA 1162 NA NA NA 5316 NA NA
1558342800.0 1320.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1322.0 NA 69 NA NA NA 150 NA NA NA 1151 NA NA NA 4567 NA NA
1558342800.0 1323.0 NA 68 NA NA NA 150 NA NA NA 1167 NA NA NA 4099 NA NA
1558342800.0 1325.1 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1325.2 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1325.3 NA 70 NA NA NA 150 NA NA NA 1148 NA NA NA 3515 NA NA
1558342800.0 1325.4 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1325.5 NA 158 0 NA NA 237 0 NA NA 3105 199 NA NA 3247 223 NA
1558342800.0 1326.0 NA 69 NA NA NA 150 NA NA NA 1159 NA NA NA 4097 NA NA
1558342800.0 1327.0 NA 73 NA NA NA 153 NA NA NA 1146 NA NA NA 5183 NA NA
1558342800.0 1328.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1329.0 NA 68 NA NA NA 149 NA NA NA 1120 NA NA NA 3691 NA NA
1558342800.0 133.0 0 NA NA NA 0 NA NA NA 710 NA NA NA 2885 NA NA NA
1558342800.0 1330.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1331.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1332.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1333.0 NA 74 NA NA NA 153 NA NA NA 1149 NA NA NA 5149 NA NA
1558342800.0 1334.0 NA 71 NA NA NA 151 NA NA NA 1171 NA NA NA 4902 NA NA
1558342800.0 1335.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1336.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1337.0 NA 75 NA NA NA 154 NA NA NA 1250 NA NA NA 6042 NA NA
1558342800.0 1338.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1339.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 134.705 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 134.706 NA 50 NA NA NA 111 NA NA NA 1431 NA NA NA 4172 NA NA
1558342800.0 134.707 NA 36 NA NA NA 112 NA NA NA 1429 NA NA NA 3748 NA NA
1558342800.0 134.709 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 134.802 NA 47 NA NA NA 110 NA NA NA 1593 NA NA NA 4316 NA NA
1558342800.0 134.808 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 134.901 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 134.903 NA 47 NA NA NA 112 NA NA NA 1515 NA NA NA 4251 NA NA
1558342800.0 134.908 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1340.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1341.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1343.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1344.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1345.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1347.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1348.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 135.11 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA
1558342800.0 1350.0 NA 69 NA NA NA 149 NA NA NA 1124 NA NA NA 3692 NA NA
1558342800.0 1353.0 NA 70 NA NA NA 149 NA NA NA 1106 NA NA NA 3493 NA NA
1558342800.0 1354.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1355.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1356.0 0 NA NA NA 0 NA NA NA 866 NA NA NA 4534 NA NA NA
1558342800.0 136.721 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.722 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.723 NA 72 NA NA NA 151 NA NA NA 1072 NA NA NA 5257 NA NA
1558342800.0 136.724 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.729 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.73 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.732 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.734 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.736 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.737 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.74 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.742 NA 55 NA NA NA 131 NA NA NA 903 NA NA NA 5247 NA NA
