Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1558386000.0 1.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1558386000.0 10.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 10024.5 NA 93 NA NA 170 NA NA 1327 NA NA 2921 NA
1558386000.0 1020.0 NA 40 0 NA 113 0 NA 1074 0 NA 2338 0
1558386000.0 103.0 0 NA NA 0 NA NA 654 NA NA 2073 NA NA
1558386000.0 1030.0 NA 116 NA NA 201 NA NA 3014 NA NA 7361 NA
1558386000.0 1040.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 1040.1 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 105.0 0 NA NA 0 NA NA 664 NA NA 2132 NA NA
1558386000.0 106.0 0 NA NA 0 NA NA 647 NA NA 2097 NA NA
1558386000.0 107.0 0 NA NA 0 NA NA 581 NA NA 1378 NA NA
1558386000.0 10801.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 10802.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 10803.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 10805.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 10808.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 10809.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 10824.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 10824.6 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 10825.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 10826.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 109.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1558386000.0 110.0 0 NA NA 0 NA NA 652 NA NA 2106 NA NA
1558386000.0 11024.2 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 111.0 0 NA NA 0 NA NA 670 NA NA 2130 NA NA
1558386000.0 114.0 0 NA NA 0 NA NA 424 NA NA 1635 NA NA
1558386000.0 115.0 0 NA NA 0 NA NA 661 NA NA 1966 NA NA
1558386000.0 116.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
