Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1558216800.0 1.0 73 134 188 NA NA NA 203 585 311 NA NA NA 2622 505 1465 NA NA NA 2524 700 1951 NA NA NA
1558216800.0 1002.0 NA 300 70 NA NA NA NA 432 134 NA NA NA NA 3483 437 NA NA NA NA 3170 867 NA NA NA
1558216800.0 10024.1 NA 179 211 0 NA NA NA 606 352 0 NA NA NA 779 900 390 NA NA NA 637 1619 589 NA NA
1558216800.0 10024.2 NA 179 385 0 NA NA NA 609 580 0 NA NA NA 647 2128 1057 NA NA NA 454 2090 1262 NA NA
1558216800.0 10024.4 NA 182 384 0 NA NA NA 611 559 0 NA NA NA 859 2089 1068 NA NA NA 562 2079 1394 NA NA
1558216800.0 1003.0 NA 255 0 NA NA NA NA 386 0 NA NA NA NA 2994 666 NA NA NA NA 1986 880 NA NA NA
1558216800.0 101.0 89 NA NA NA NA NA 161 NA NA NA NA NA 860 NA NA NA NA NA 1146 NA NA NA NA NA
1558216800.0 1010.0 NA 30 48 0 NA NA NA 88 99 0 NA NA NA 153 163 138 NA NA NA 546 244 462 NA NA
1558216800.0 102.0 94 NA NA NA NA NA 161 NA NA NA NA NA 786 NA NA NA NA NA 1062 NA NA NA NA NA
1558216800.0 1020.0 NA 71 22 0 70 NA NA 140 72 0 145 NA NA 268 132 87 293 NA NA 852 330 433 574 NA
1558216800.0 1030.0 NA 192 50 0 0 NA NA 450 106 0 0 NA NA 7689 290 87 89 NA NA 3328 324 503 314 NA
1558216800.0 1040.1 NA 77 26 0 NA NA NA 147 77 0 NA NA NA 554 152 142 NA NA NA 1091 350 248 NA NA
1558216800.0 10424.0 NA 175 379 0 NA NA NA 608 558 0 NA NA NA 731 2153 959 NA NA NA 836 2309 1278 NA NA
1558216800.0 106.0 47 0 0 NA NA NA 108 0 0 NA NA NA 839 231 1660 NA NA NA 1101 567 1892 NA NA NA
1558216800.0 108.0 87 131 284 NA NA NA 209 587 435 NA NA NA 3817 553 2099 NA NA NA 3013 918 2753 NA NA NA
1558216800.0 10804.0 NA 251 387 0 87 138 NA 674 580 0 146 217 NA 2079 2445 2127 494 1130 NA 3260 2674 2290 1300 1449
