Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1557522000.0 1.0 251 309 707 NA NA NA NA NA NA 2097350 2097290 2097370 NA NA NA NA NA NA 2780 1221 2607 NA NA NA NA NA NA 1738 933 2933 NA NA NA NA NA NA
1557522000.0 10.0 NA 351 906 0 NA NA NA NA NA NA 2097310 2097470 0 NA NA NA NA NA NA 6317 12637 1209 NA NA NA NA NA NA 2879 8924 2505 NA NA NA NA NA
1557522000.0 1000.0 NA 826 396 0 208 NA NA NA NA NA 2097420 2097350 0 2097250 NA NA NA NA NA 8772 2946 2096 753 NA NA NA NA NA 4410 3014 2230 842 NA NA NA NA
1557522000.0 10001.0 NA 397 990 0 222 NA NA NA NA NA 2097330 2097460 0 2097270 NA NA NA NA NA 5331 4380 3222 656 NA NA NA NA NA 4875 4408 3397 1558 NA NA NA NA
1557522000.0 10002.0 NA 399 985 0 233 NA NA NA NA NA 2097330 2097460 0 2097270 NA NA NA NA NA 4456 4415 3259 551 NA NA NA NA NA 3640 7973 4175 715 NA NA NA NA
1557522000.0 10003.0 NA 398 1001 0 232 NA NA NA NA NA 2097330 2097460 0 2097270 NA NA NA NA NA 3952 4396 3394 585 NA NA NA NA NA 2650 4937 3534 752 NA NA NA NA
1557522000.0 10004.0 NA 396 987 0 233 NA NA NA NA NA 2097330 2097460 0 2097270 NA NA NA NA NA 3884 4288 3362 786 NA NA NA NA NA 3064 6537 3529 752 NA NA NA NA
1557522000.0 10005.0 NA 397 1004 0 233 NA NA NA NA NA 2097330 2097460 0 2097270 NA NA NA NA NA 3842 4510 3317 560 NA NA NA NA NA 2153 4709 3504 827 NA NA NA NA
1557522000.0 10006.0 NA 398 958 0 220 NA NA NA NA NA 2097330 2097460 0 2097260 NA NA NA NA NA 4350 4142 3199 661 NA NA NA NA NA 2902 4507 3648 1277 NA NA NA NA
1557522000.0 10007.0 NA 421 998 0 225 NA NA NA NA NA 2097330 2097460 0 2097270 NA NA NA NA NA 3595 4483 3217 553 NA NA NA NA NA 1781 6235 3517 679 NA NA NA NA
1557522000.0 10008.0 NA 416 998 0 221 NA NA NA NA NA 2097330 2097460 0 2097270 NA NA NA NA NA 4121 4640 3233 736 NA NA NA NA NA 2393 5532 3363 1373 NA NA NA NA
1557522000.0 10009.0 NA 421 1021 0 227 NA NA NA NA NA 2097340 2097460 0 2097270 NA NA NA NA NA 2481 4665 3066 517 NA NA NA NA NA 1621 4017 3181 596 NA NA NA NA
1557522000.0 1001.0 NA 805 346 0 0 0 0 0 0 NA 2097410 2097310 0 0 0 0 0 0 NA 8233 1791 255 120 259 424 471 400 NA 5122 1358 326 157 299 470 528 447
1557522000.0 1001.2 NA 993 353 0 NA NA NA NA NA NA 2097460 2097310 0 NA NA NA NA NA NA 74099 4051 367 NA NA NA NA NA NA 21748 3339 427 NA NA NA NA NA
1557522000.0 1002.0 NA 875 202 NA NA NA NA NA NA NA 2097430 2097270 NA NA NA NA NA NA NA 11142 660 NA NA NA NA NA NA NA 7429 721 NA NA NA NA NA NA
1557522000.0 10023.0 NA 410 965 0 222 NA NA NA NA NA 2097330 2097460 0 2097270 NA NA NA NA NA 5210 4174 3201 725 NA NA NA NA NA 3465 4578 3741 1372 NA NA NA NA
1557522000.0 10024.0 NA 418 1020 0 236 NA NA NA NA NA 2097340 2097470 0 2097270 NA NA NA NA NA 3968 5942 3462 567 NA NA NA NA NA 2270 4739 3652 769 NA NA NA NA
1557522000.0 10024.1 NA 436 531 0 NA NA NA NA NA NA 2097340 2097350 0 NA NA NA NA NA NA 2907 2196 707 NA NA NA NA NA NA 1354 1904 764 NA NA NA NA NA
1557522000.0 10024.2 NA 430 1016 0 NA NA NA NA NA NA 2097330 2097470 0 NA NA NA NA NA NA 2741 4764 2874 NA NA NA NA NA NA 1459 3708 3826 NA NA NA NA NA
1557522000.0 10024.3 NA 436 524 0 NA NA NA NA NA NA 2097340 2097350 0 NA NA NA NA NA NA 2673 2192 606 NA NA NA NA NA NA 1388 2117 725 NA NA NA NA NA
1557522000.0 10024.4 NA 421 1024 0 NA NA NA NA NA NA 2097330 2097480 0 NA NA NA NA NA NA 5076 5732 3218 NA NA NA NA NA NA 3380 4672 3357 NA NA NA NA NA
1557522000.0 10024.5 NA 420 291 0 NA NA NA NA NA NA 2097330 2097290 0 NA NA NA NA NA NA 3154 875 196 NA NA NA NA NA NA 1763 1056 242 NA NA NA NA NA
1557522000.0 10025.0 NA 401 1012 0 224 NA NA NA NA NA 2097330 2097460 0 2097270 NA NA NA NA NA 3889 4805 3444 790 NA NA NA NA NA 2579 4401 3576 791 NA NA NA NA
1557522000.0 10026.0 NA 422 1035 0 228 NA NA NA NA NA 2097330 2097470 0 2097270 NA NA NA NA NA 3956 7236 3478 783 NA NA NA NA NA 2212 5764 3726 782 NA NA NA NA
1557522000.0 1003.0 NA 790 0 NA NA NA NA NA NA NA 2097410 0 NA NA NA NA NA NA NA 10728 1439 NA NA NA NA NA NA NA 4422 1526 NA NA NA NA NA NA
1557522000.0 1004.0 NA 481 252 0 0 0 0 NA NA NA 2097390 2097290 0 0 0 0 NA NA NA 1879 567 116 249 419 355 NA NA NA 1580 620 173 314 482 447 NA NA
1557522000.0 10042.0 NA 421 999 0 223 NA NA NA NA NA 2097330 2097460 0 2097270 NA NA NA NA NA 4883 4839 3269 662 NA NA NA NA NA 3454 5667 3683 1298 NA NA NA NA
1557522000.0 10059.0 NA 440 1109 0 229 NA NA NA NA NA 2097340 2097480 0 2097270 NA NA NA NA NA 4936 9884 3316 572 NA NA NA NA NA 3281 9147 3487 761 NA NA NA NA
1557522000.0 10071.0 NA 408 1016 0 234 NA NA NA NA NA 2097330 2097470 0 2097270 NA NA NA NA NA 4246 5662 3462 576 NA NA NA NA NA 3328 6038 3633 704 NA NA NA NA
1557522000.0 101.0 306 NA NA NA NA NA NA NA NA 2097310 NA NA NA NA NA NA NA NA 1826 NA NA NA NA NA NA NA NA 2434 NA NA NA NA NA NA NA NA
1557522000.0 1010.0 NA 118 147 0 NA NA NA NA NA NA 2097240 2097250 0 NA NA NA NA NA NA 246 552 271 NA NA NA NA NA NA 845 1029 462 NA NA NA NA NA
1557522000.0 102.0 306 NA NA NA NA NA NA NA NA 2097310 NA NA NA NA NA NA NA NA 1596 NA NA NA NA NA NA NA NA 2221 NA NA NA NA NA NA NA NA
1557522000.0 1020.0 NA 202 103 0 198 NA NA NA NA NA 2097270 2097230 0 2097270 NA NA NA NA NA 455 209 148 448 NA NA NA NA NA 1253 730 586 821 NA NA NA NA
