Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1557694800.0 1.0 76 127 193 NA NA NA NA NA NA 271 632 681 NA NA NA NA NA NA 1074 510 1385 NA NA NA NA NA NA 925 467 1584 NA NA NA NA NA NA
1557694800.0 10.0 NA 133 306 0 NA NA NA NA NA NA 691 741 0 NA NA NA NA NA NA 2437 4108 741 NA NA NA NA NA NA 2017 3979 1147 NA NA NA NA NA
1557694800.0 1000.0 NA 323 154 0 52 NA NA NA NA NA 804 368 0 168 NA NA NA NA NA 4074 1517 834 477 NA NA NA NA NA 5051 1859 1025 780 NA NA NA NA
1557694800.0 10001.0 NA 185 369 0 78 NA NA NA NA NA 695 822 0 203 NA NA NA NA NA 941 2418 1069 439 NA NA NA NA NA 985 3187 1175 680 NA NA NA NA
1557694800.0 10002.0 NA 177 384 0 71 NA NA NA NA NA 653 918 0 202 NA NA NA NA NA 838 2286 1056 319 NA NA NA NA NA 865 2880 1266 525 NA NA NA NA
1557694800.0 10003.0 NA 175 364 0 83 NA NA NA NA NA 699 895 0 202 NA NA NA NA NA 974 2908 1293 336 NA NA NA NA NA 1559 5832 1492 906 NA NA NA NA
1557694800.0 10004.0 NA 171 366 0 67 NA NA NA NA NA 696 907 0 207 NA NA NA NA NA 788 2209 1101 335 NA NA NA NA NA 2206 2642 1517 696 NA NA NA NA
1557694800.0 10005.0 NA 181 374 0 79 NA NA NA NA NA 699 907 0 201 NA NA NA NA NA 946 2603 1203 389 NA NA NA NA NA 1041 4262 1453 593 NA NA NA NA
1557694800.0 10006.0 NA 176 362 0 70 NA NA NA NA NA 697 884 0 208 NA NA NA NA NA 1031 2167 1149 648 NA NA NA NA NA 1227 2371 1255 926 NA NA NA NA
1557694800.0 10007.0 NA 172 373 0 68 NA NA NA NA NA 651 784 0 202 NA NA NA NA NA 839 2464 1120 375 NA NA NA NA NA 1409 3300 1271 849 NA NA NA NA
1557694800.0 10008.0 NA 172 372 0 83 NA NA NA NA NA 699 930 0 203 NA NA NA NA NA 1114 2521 1299 280 NA NA NA NA NA 1648 2693 1628 578 NA NA NA NA
1557694800.0 10009.0 NA 174 373 0 76 NA NA NA NA NA 654 901 0 204 NA NA NA NA NA 779 2391 1161 369 NA NA NA NA NA 1702 3408 1280 764 NA NA NA NA
1557694800.0 1001.0 NA 273 119 0 0 0 0 0 0 NA 751 259 0 0 0 0 0 0 NA 2947 765 95 93 110 310 116 284 NA 2757 2015 185 517 157 363 175 332
1557694800.0 1001.2 NA 403 135 0 NA NA NA NA NA NA 961 293 0 NA NA NA NA NA NA 14784 1744 133 NA NA NA NA NA NA 5148 1516 232 NA NA NA NA NA
1557694800.0 1002.0 NA 305 71 NA NA NA NA NA NA NA 760 181 NA NA NA NA NA NA NA 3304 406 NA NA NA NA NA NA NA 2486 288 NA NA NA NA NA NA
1557694800.0 10023.0 NA 174 356 0 71 NA NA NA NA NA 655 895 0 205 NA NA NA NA NA 723 1996 991 282 NA NA NA NA NA 1375 2482 1057 453 NA NA NA NA
1557694800.0 10024.0 NA 184 389 0 76 NA NA NA NA NA 655 859 0 214 NA NA NA NA NA 1079 2960 1513 477 NA NA NA NA NA 1393 2759 1684 688 NA NA NA NA
