Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1558299600.0 1.0 94 113 192 NA NA 200 584 520 NA NA 1607 756 2277 NA NA 1830 524 2992 NA NA
1558299600.0 10.0 NA 132 305 0 NA NA 555 675 0 NA NA 2269 3637 567 NA NA 1451 2462 918 NA
1558299600.0 10001.0 NA 172 385 0 74 NA 559 698 0 131 NA 1456 2339 1110 285 NA 1115 2328 1155 432
1558299600.0 1001.2 NA 384 133 0 NA NA 762 203 0 NA NA 24109 2583 247 NA NA 13494 1917 377 NA
1558299600.0 1002.0 NA 313 78 NA NA NA 678 137 NA NA NA 3714 472 NA NA NA 5855 1097 NA NA
1558299600.0 10024.2 NA 180 383 0 NA NA 606 765 0 NA NA 781 2239 1002 NA NA 1597 2204 1080 NA
1558299600.0 10024.4 NA 183 386 0 NA NA 561 689 0 NA NA 785 2217 985 NA NA 1502 2158 1042 NA
1558299600.0 1003.0 NA 269 0 NA NA NA 633 0 NA NA NA 3365 635 NA NA NA 2593 869 NA NA
1558299600.0 10059.0 NA 190 417 0 77 NA 563 788 0 132 NA 1680 3597 1113 274 NA 1058 2570 1156 432
1558299600.0 101.0 90 NA NA NA NA 162 NA NA NA NA 899 NA NA NA NA 1360 NA NA NA NA
1558299600.0 102.0 94 NA NA NA NA 162 NA NA NA NA 787 NA NA NA NA 1202 NA NA NA NA
1558299600.0 10224.0 NA 337 634 0 NA NA 578 914 0 NA NA 4920 8331 1235 NA NA 3317 6064 1330 NA
1558299600.0 10225.0 NA 346 629 0 NA NA 623 1009 0 NA NA 3657 4770 1020 NA NA 1569 2994 1185 NA
1558299600.0 103.0 41 0 0 NA NA 98 0 0 NA NA 444 208 1506 NA NA 907 290 1734 NA NA
1558299600.0 1040.0 NA 361 28 0 NA NA 771 73 0 NA NA 11678 135 121 NA NA 5165 246 196 NA
1558299600.0 10424.0 NA 183 377 0 NA NA 609 611 0 NA NA 1348 4161 1816 NA NA 1425 6129 2564 NA
1558299600.0 106.0 43 0 0 NA NA 99 0 0 NA NA 662 469 2169 NA NA 1642 635 2387 NA NA
1558299600.0 107.0 77 145 290 NA NA 202 584 617 NA NA 1966 500 1823 NA NA 1305 400 1920 NA NA
1558299600.0 108.0 94 114 295 NA NA 197 584 601 NA NA 5123 989 3708 NA NA 3075 738 4737 NA NA
1558299600.0 10824.1 NA 286 212 0 NA NA 682 416 0 NA NA 2099 939 343 NA NA 2744 1444 399 NA
1558299600.0 10824.5 NA 289 166 0 NA NA 682 255 0 NA NA 2056 632 146 NA NA 2100 1775 228 NA
1558299600.0 109.0 92 119 309 NA NA 203 583 650 NA NA 4203 780 1844 NA NA 1627 475 1751 NA NA
1558299600.0 110.0 64 113 295 NA NA 128 540 619 NA NA 982 816 2891 NA NA 1844 660 3452 NA NA
1558299600.0 111.0 92 121 294 NA NA 195 582 628 NA NA 2008 544 2807 NA NA 2137 406 2991 NA NA
1558299600.0 112.0 94 115 293 NA NA 213 585 564 NA NA 3297 937 2823 NA NA 2333 581 2943 NA NA
1558299600.0 11224.6 NA 279 416 0 NA NA 682 758 0 NA NA 2237 2820 2215 NA NA 4095 3447 5199 NA
1558299600.0 114.0 101 110 286 NA NA 201 584 573 NA NA 3403 1121 3390 NA NA 2791 862 3873 NA NA
1558299600.0 115.0 77 159 295 NA NA 221 585 662 NA NA 2205 496 1879 NA NA 1591 358 2005 NA NA
1558299600.0 116.0 89 163 288 NA NA 222 585 664 NA NA 2648 526 1942 NA NA 1388 363 1917 NA NA
1558299600.0 11624.0 NA 190 398 0 76 NA 608 675 0 129 NA 1074 2240 932 274 NA 670 2019 977 627
1558299600.0 11626.0 NA 183 390 0 72 NA 606 687 0 126 NA 803 2453 1014 271 NA 1076 2206 1511 377
