Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1558429200.0 101.0 84 NA NA NA 163 NA NA NA 838 NA NA NA 1237 NA NA NA
1558429200.0 103.0 43 0 0 NA 99 0 0 NA 424 277 1324 NA 859 449 2148 NA
1558429200.0 1040.0 NA 367 32 0 NA 762 74 0 NA 10996 131 115 NA 4949 247 200
1558429200.0 10424.0 NA 173 375 0 NA 604 748 0 NA 810 2528 1119 NA 1499 3200 1354
1558429200.0 106.0 42 0 0 NA 99 0 0 NA 447 209 1431 NA 1350 265 1965 NA
1558429200.0 10824.1 NA 320 227 0 NA 637 412 0 NA 1775 833 321 NA 2126 1075 412
1558429200.0 10824.5 NA 314 164 0 NA 683 247 0 NA 1846 628 123 NA 1773 1072 183
1558429200.0 114.0 98 116 297 NA 201 584 632 NA 1758 646 2072 NA 2992 1219 3430 NA
1558429200.0 122.0 43 0 0 NA 99 0 0 NA 427 325 1421 NA 929 302 2771 NA
1558429200.0 1302.0 99 148 226 NA 178 552 532 NA 2869 1044 1924 NA 1601 979 2657 NA
1558429200.0 1325.5 NA 183 0 NA NA 276 0 NA NA 4403 273 NA NA 6087 1059 NA
1558429200.0 1325.51 NA 163 0 NA NA 266 0 NA NA 1842 194 NA NA 2062 647 NA
1558429200.0 1325.7 NA 196 0 NA NA 339 0 NA NA 3971 164 NA NA 2514 293 NA
1558429200.0 1325.8 NA 208 0 NA NA 332 0 NA NA 3675 148 NA NA 1978 345 NA
1558429200.0 1329.1 NA 199 0 NA NA 315 0 NA NA 5179 191 NA NA 6237 811 NA
1558429200.0 136.742 NA 99 373 0 NA 162 626 0 NA 481 11294 726 NA 442 5587 860
1558429200.0 136.743 NA 100 398 0 NA 161 717 0 NA 543 10768 733 NA 462 5814 890
1558429200.0 136.7611 NA 189 0 NA NA 302 0 NA NA 5253 151 NA NA 6342 409 NA
1558429200.0 136.7721 NA 176 0 NA NA 295 0 NA NA 5097 176 NA NA 6229 453 NA
1558429200.0 136.7722 NA 169 0 NA NA 264 0 NA NA 5513 176 NA NA 5824 604 NA
1558429200.0 136.7952 NA 184 0 NA NA 301 0 NA NA 3448 171 NA NA 2360 519 NA
1558429200.0 136.814 NA 120 441 0 NA 190 736 0 NA 593 12548 942 NA 488 5973 1471
1558429200.0 136.821 NA 112 439 0 NA 187 760 0 NA 614 18385 1093 NA 835 9413 1687
1558429200.0 136.8311 NA 176 0 NA NA 292 0 NA NA 2364 165 NA NA 2269 318 NA
1558429200.0 136.834 NA 113 439 0 NA 186 781 0 NA 552 20556 1314 NA 834 10034 2085
1558429200.0 140.56 NA 729 0 NA NA 1331 0 NA NA 17602 779 NA NA 9391 1244 NA
1558429200.0 4007.0 44 0 0 NA 99 0 0 NA 417 198 1418 NA 933 619 2057 NA
1558429200.0 4008.0 69 152 352 NA 148 603 691 NA 1104 576 1677 NA 1046 711 1785 NA
1558429200.0 50207.0 NA 253 467 0 NA 570 787 0 NA 1612 2749 498 NA 1286 3210 570
1558429200.0 513.0 14 39 0 NA 58 91 0 NA 782 226 171 NA 2348 752 788 NA
1558429200.0 516.0 14 33 0 NA 58 89 0 NA 784 219 166 NA 2085 891 456 NA
1558429200.0 519.0 15 41 0 NA 58 91 0 NA 712 191 143 NA 2339 488 1173 NA
1558429200.0 521.0 16 42 0 NA 59 90 0 NA 569 184 137 NA 2677 624 394 NA
1558429200.0 523.0 16 45 0 NA 59 100 0 NA 936 194 143 NA 3472 853 361 NA
1558429200.0 525.0 16 41 0 NA 58 89 0 NA 640 217 188 NA 2682 626 755 NA
1558429200.0 528.0 14 40 0 NA 58 90 0 NA 593 202 151 NA 2851 490 1114 NA
1558429200.0 551.0 16 41 0 NA 59 89 0 NA 889 160 114 NA 2298 348 301 NA
1558429200.0 554.0 16 39 0 NA 59 89 0 NA 1600 251 165 NA 2214 873 564 NA
1558429200.0 555.0 16 39 0 NA 58 89 0 NA 1188 179 279 NA 5904 736 877 NA
1558429200.0 562.0 14 34 0 NA 58 89 0 NA 398 218 163 NA 2580 742 397 NA
