Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1558126800.0 10.0 NA 353 440 0 NA NA NA NA 2097310 2097470 0 NA NA NA NA 6007 20989 1662 NA NA NA NA 2258 43423 3909 NA NA NA
1558126800.0 10001.0 NA 403 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 3813 NA NA NA NA NA NA 4312 NA NA NA NA NA
1558126800.0 10002.0 NA 246 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 10442 NA NA NA NA NA NA 18482 NA NA NA NA NA
1558126800.0 10003.0 NA 397 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 3726 NA NA NA NA NA NA 4609 NA NA NA NA NA
1558126800.0 10004.0 NA 406 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 2763 NA NA NA NA NA NA 2949 NA NA NA NA NA
1558126800.0 10005.0 NA 370 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 4583 NA NA NA NA NA NA 12492 NA NA NA NA NA
1558126800.0 10006.0 NA 256 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 10989 NA NA NA NA NA NA 18582 NA NA NA NA NA
1558126800.0 10007.0 NA 257 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 8319 NA NA NA NA NA NA 20032 NA NA NA NA NA
1558126800.0 1001.2 NA 814 345 0 NA NA NA NA 2097460 2097310 0 NA NA NA NA 98596 5718 420 NA NA NA NA 61564 6131 892 NA NA NA
1558126800.0 10023.0 NA 238 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 12639 NA NA NA NA NA NA 21641 NA NA NA NA NA
1558126800.0 10024.1 NA 413 471 0 NA NA NA NA 2097330 2097350 0 NA NA NA NA 5044 2945 739 NA NA NA NA 4048 8663 1653 NA NA NA
1558126800.0 10024.2 NA 345 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 5080 NA NA NA NA NA NA 8136 NA NA NA NA NA
1558126800.0 10024.3 NA 412 376 0 NA NA NA NA 2097330 2097340 0 NA NA NA NA 3811 4001 632 NA NA NA NA 4265 12421 1969 NA NA NA
1558126800.0 10024.4 NA 327 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 5406 NA NA NA NA NA NA 8053 NA NA NA NA NA
1558126800.0 10024.5 NA 415 279 0 NA NA NA NA 2097330 2097290 0 NA NA NA NA 5036 1517 291 NA NA NA NA 4048 6496 1495 NA NA NA
1558126800.0 10025.0 NA 411 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 4861 NA NA NA NA NA NA 4586 NA NA NA NA NA
1558126800.0 10026.0 NA 428 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 5623 NA NA NA NA NA NA 6552 NA NA NA NA NA
1558126800.0 1004.0 NA 453 241 0 0 0 0 NA 2097390 2097290 0 0 0 0 NA 3881 1061 361 367 500 533 NA 11828 4691 6735 1106 1760 2029
1558126800.0 10042.0 NA 406 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 7004 NA NA NA NA NA NA 8467 NA NA NA NA NA
1558126800.0 10059.0 NA 448 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 5650 NA NA NA NA NA NA 5476 NA NA NA NA NA
1558126800.0 10071.0 NA 413 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 5036 NA NA NA NA NA NA 4633 NA NA NA NA NA
1558126800.0 101.0 297 NA NA NA NA NA NA 2097310 NA NA NA NA NA NA 2459 NA NA NA NA NA NA 9406 NA NA NA NA NA NA
1558126800.0 1010.0 NA 112 134 0 NA NA NA NA 2097240 2097250 0 NA NA NA NA 267 771 335 NA NA NA NA 1303 4943 603 NA NA NA
1558126800.0 102.0 297 NA NA NA NA NA NA 2097310 NA NA NA NA NA NA 2258 NA NA NA NA NA NA 11952 NA NA NA NA NA NA
1558126800.0 1020.0 NA 193 96 0 199 NA NA NA 2097270 2097230 0 2097270 NA NA NA 603 277 281 767 NA NA NA 2246 2292 2582 1987 NA NA
1558126800.0 10224.0 NA 646 NA NA NA NA NA NA 2097390 NA NA NA NA NA NA 13380 NA NA NA NA NA NA 6828 NA NA NA NA NA
1558126800.0 10225.0 NA 636 997 0 NA NA NA NA 2097390 2097570 0 NA NA NA NA 14719 16779 2915 NA NA NA NA 10515 21421 3066 NA NA NA
1558126800.0 103.0 201 0 NA NA NA NA NA 2097250 0 NA NA NA NA NA 1306 670 NA NA NA NA NA 4535 1088 NA NA NA NA NA
1558126800.0 1030.0 NA 440 145 0 0 NA NA NA 2097370 2097250 0 0 NA NA NA 51905 1112 142 236 NA NA NA 32824 2745 306 1843 NA NA
1558126800.0 1040.1 NA 214 115 0 NA NA NA NA 2097280 2097230 0 NA NA NA NA 1465 706 469 NA NA NA NA 4352 4704 1574 NA NA NA
1558126800.0 10424.0 NA 423 NA NA NA NA NA NA 2097320 NA NA NA NA NA NA 4058 NA NA NA NA NA NA 3518 NA NA NA NA NA
1558126800.0 105.0 243 311 115 NA NA NA NA 2097340 2097280 2097240 NA NA NA NA 2881 1864 365 NA NA NA NA 6472 4408 1585 NA NA NA NA
1558126800.0 106.0 210 0 0 NA NA NA NA 2097250 0 0 NA NA NA NA 1121 620 8053 NA NA NA NA 3713 1839 54167 NA NA NA NA
1558126800.0 107.0 233 313 NA NA NA NA NA 2097340 2097280 NA NA NA NA NA 5209 2110 NA NA NA NA NA 7141 2608 NA NA NA NA NA
1558126800.0 108.0 246 323 NA NA NA NA NA 2097340 2097280 NA NA NA NA NA 7332 1933 NA NA NA NA NA 5820 2046 NA NA NA NA NA
1558126800.0 10801.0 NA 290 NA NA NA NA NA NA 2097390 NA NA NA NA NA NA 14002 NA NA NA NA NA NA 39602 NA NA NA NA NA
1558126800.0 10803.0 NA 331 NA NA NA NA NA NA 2097400 NA NA NA NA NA NA 22101 NA NA NA NA NA NA 49267 NA NA NA NA NA
1558126800.0 10805.0 NA 299 NA NA NA NA NA NA 2097390 NA NA NA NA NA NA 19128 NA NA NA NA NA NA 38344 NA NA NA NA NA
1558126800.0 10807.0 NA 360 NA NA NA NA NA NA 2097390 NA NA NA NA NA NA 18608 NA NA NA NA NA NA 36829 NA NA NA NA NA
1558126800.0 10824.1 NA 414 490 0 NA NA NA NA 2097400 2097350 0 NA NA NA NA 19551 5497 1118 NA NA NA NA 27813 16131 2645 NA NA NA
1558126800.0 10824.5 NA 507 336 0 NA NA NA NA 2097400 2097300 0 NA NA NA NA 19410 2719 382 NA NA NA NA 30580 9743 1648 NA NA NA
1558126800.0 10825.0 NA 329 NA NA NA NA NA NA 2097400 NA NA NA NA NA NA 11129 NA NA NA NA NA NA 17409 NA NA NA NA NA
1558126800.0 10826.0 NA 513 NA NA NA NA NA NA 2097400 NA NA NA NA NA NA 8972 NA NA NA NA NA NA 14631 NA NA NA NA NA
1558126800.0 10842.0 NA 401 NA NA NA NA NA NA 2097400 NA NA NA NA NA NA 9813 NA NA NA NA NA NA 16935 NA NA NA NA NA
1558126800.0 10842.7 NA 340 NA NA NA NA NA NA 2097400 NA NA NA NA NA NA 9565 NA NA NA NA NA NA 14978 NA NA NA NA NA
1558126800.0 10871.0 NA 341 NA NA NA NA NA NA 2097400 NA NA NA NA NA NA 7526 NA NA NA NA NA NA 13809 NA NA NA NA NA
1558126800.0 109.0 245 320 NA NA NA NA NA 2097340 2097280 NA NA NA NA NA 7250 2209 NA NA NA NA NA 4517 5492 NA NA NA NA NA
1558126800.0 11.0 NA 321 706 0 213 NA NA NA 2097300 2097440 0 2097260 NA NA NA 6206 7030 1712 1620 NA NA NA 10930 30133 1965 5466 NA NA
1558126800.0 110.0 227 313 543 NA NA NA NA 2097270 2097280 2097430 NA NA NA NA 2036 1733 8192 NA NA NA NA 4689 5573 24526 NA NA NA NA
1558126800.0 1102.0 NA 355 531 556 230 NA NA NA 2097310 2097470 2097340 2097250 NA NA NA 8320 33170 14001 801 NA NA NA 8743 88173 13055 1436 NA NA
1558126800.0 11024.0 NA 730 NA NA NA NA NA NA 2097490 NA NA NA NA NA NA 20922 NA NA NA NA NA NA 25740 NA NA NA NA NA
1558126800.0 111.0 233 308 403 NA NA NA NA 2097340 2097280 2097420 NA NA NA NA 4032 1864 11278 NA NA NA NA 6060 3962 64749 NA NA NA NA
1558126800.0 112.0 244 324 NA NA NA NA NA 2097350 2097280 NA NA NA NA NA 5531 1593 NA NA NA NA NA 7351 1854 NA NA NA NA NA
1558126800.0 113.0 244 317 440 NA NA NA NA 2097350 2097290 2097430 NA NA NA NA 6218 1983 10559 NA NA NA NA 8072 2558 65428 NA NA NA NA
1558126800.0 114.0 250 306 NA NA NA NA NA 2097340 2097280 NA NA NA NA NA 5100 2041 NA NA NA NA NA 4951 6278 NA NA NA NA NA
1558126800.0 115.0 235 315 NA NA NA NA NA 2097350 2097280 NA NA NA NA NA 6054 2020 NA NA NA NA NA 7177 5814 NA NA NA NA NA
1558126800.0 116.0 258 322 441 NA NA NA NA 2097350 2097280 2097430 NA NA NA NA 6795 1995 11086 NA NA NA NA 3939 1932 65398 NA NA NA NA
1558126800.0 11623.0 NA 422 NA NA NA NA NA NA 2097320 NA NA NA NA NA NA 2460 NA NA NA NA NA NA 3623 NA NA NA NA NA
1558126800.0 11624.0 NA 412 NA NA NA NA NA NA 2097320 NA NA NA NA NA NA 2813 NA NA NA NA NA NA 4705 NA NA NA NA NA
