Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1558216800.0 1000.0 NA 293 151 0 47 NA NA 782 378 0 168 NA NA 3309 1333 825 348 NA NA 3300 2725 1134 554 NA
1558216800.0 1002.0 NA 310 79 NA NA NA NA 798 178 NA NA NA NA 3500 425 NA NA NA NA 2876 552 NA NA NA
1558216800.0 10024.5 NA 183 144 0 NA NA NA 654 323 0 NA NA NA 776 502 144 NA NA NA 694 837 287 NA NA
1558216800.0 1003.0 NA 274 0 NA NA NA NA 718 0 NA NA NA NA 3404 648 NA NA NA NA 2635 1307 NA NA NA
1558216800.0 101.0 91 NA NA NA NA NA 257 NA NA NA NA NA 836 NA NA NA NA NA 1404 NA NA NA NA NA
1558216800.0 1010.0 NA 22 35 0 NA NA NA 152 165 0 NA NA NA 130 201 136 NA NA NA 334 506 272 NA NA
1558216800.0 102.0 80 NA NA NA NA NA 258 NA NA NA NA NA 744 NA NA NA NA NA 1239 NA NA NA NA NA
1558216800.0 1020.0 NA 71 20 0 71 NA NA 205 137 0 210 NA NA 217 104 63 246 NA NA 543 250 256 559 NA
1558216800.0 103.0 42 0 0 NA NA NA 167 0 0 NA NA NA 506 253 1756 NA NA NA 1204 542 2577 NA NA NA
1558216800.0 1040.1 NA 65 29 0 NA NA NA 222 140 0 NA NA NA 435 138 128 NA NA NA 710 474 404 NA NA
1558216800.0 10801.0 NA 256 397 0 85 149 NA 764 882 0 228 335 NA 1899 2191 1872 422 726 NA 1934 3165 2188 552 1478
1558216800.0 10802.0 NA 264 396 0 84 152 NA 764 905 0 223 359 NA 1911 2185 1878 431 723 NA 1859 2639 2140 1545 993
1558216800.0 10803.0 NA 266 406 0 84 159 NA 765 826 0 219 365 NA 1873 2283 1880 449 771 NA 2967 2586 2053 1439 1004
1558216800.0 10806.0 NA 253 395 0 91 121 NA 808 922 0 215 303 NA 2043 2436 2063 490 832 NA 2334 4079 2899 1012 1337
