Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1558299600.0 1000.0 NA 310 180 0 53 NA NA NA 781 368 0 168 NA NA NA 3099 1250 736 330 NA NA NA 2924 1894 1415 450 NA NA
1558299600.0 1004.0 NA 227 98 0 0 0 0 NA 476 233 0 0 0 0 NA 977 309 76 129 282 255 NA 2009 925 285 181 342 368
1558299600.0 1325.5 NA 163 0 NA NA NA NA NA 385 0 NA NA NA NA NA 4415 157 NA NA NA NA NA 5545 327 NA NA NA NA
1558299600.0 1329.1 NA 181 0 NA NA NA NA NA 386 0 NA NA NA NA NA 5558 141 NA NA NA NA NA 6598 420 NA NA NA NA
1558299600.0 136.733 NA 170 74 0 NA NA NA NA 417 209 0 NA NA NA NA 1069 509 293 NA NA NA NA 1555 664 859 NA NA NA
1558299600.0 136.7611 NA 176 0 NA NA NA NA NA 390 0 NA NA NA NA NA 5111 141 NA NA NA NA NA 5512 410 NA NA NA NA
1558299600.0 4.28 NA 75 310 0 NA NA NA NA 197 792 0 NA NA NA NA 557 3320 2458 NA NA NA NA 3986 5155 3869 NA NA NA
1558299600.0 4007.0 45 0 0 NA NA NA NA 169 0 0 NA NA NA NA 483 283 1642 NA NA NA NA 1375 743 2091 NA NA NA NA
1558299600.0 511.0 42 0 NA NA NA NA NA 176 0 NA NA NA NA NA 9109 123 NA NA NA NA NA 12638 311 NA NA NA NA NA
1558299600.0 513.0 19 36 0 NA NA NA NA 112 157 0 NA NA NA NA 576 196 132 NA NA NA NA 2757 684 726 NA NA NA NA
1558299600.0 516.0 15 37 0 NA NA NA NA 112 157 0 NA NA NA NA 803 221 138 NA NA NA NA 3344 580 908 NA NA NA NA
1558299600.0 519.0 16 41 0 NA NA NA NA 112 157 0 NA NA NA NA 722 200 135 NA NA NA NA 1920 334 478 NA NA NA NA
1558299600.0 521.0 15 43 0 NA NA NA NA 112 159 0 NA NA NA NA 806 236 158 NA NA NA NA 3331 380 566 NA NA NA NA
1558299600.0 525.0 16 40 0 NA NA NA NA 112 158 0 NA NA NA NA 595 196 127 NA NA NA NA 1788 430 336 NA NA NA NA
1558299600.0 528.0 14 42 0 NA NA NA NA 112 158 0 NA NA NA NA 836 197 143 NA NA NA NA 3644 443 271 NA NA NA NA
1558299600.0 554.0 16 37 0 NA NA NA NA 112 158 0 NA NA NA NA 1651 220 153 NA NA NA NA 2457 755 766 NA NA NA NA
