Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1558386000.0 1325.5 NA 166 0 NA NA 373 0 NA NA 6461 293 NA NA 9817 777 NA
1558386000.0 1325.51 NA 164 0 NA NA 369 0 NA NA 1623 145 NA NA 3122 309 NA
1558386000.0 1325.8 NA 198 0 NA NA 425 0 NA NA 3334 133 NA NA 3261 284 NA
1558386000.0 1329.1 NA 187 0 NA NA 404 0 NA NA 7483 285 NA NA 10269 661 NA
1558386000.0 136.733 NA 189 80 0 NA 404 207 0 NA 963 336 252 NA 1185 385 461
1558386000.0 136.7611 NA 179 0 NA NA 404 0 NA NA 7520 241 NA NA 10420 721 NA
1558386000.0 136.7721 NA 174 0 NA NA 381 0 NA NA 6874 261 NA NA 10075 735 NA
1558386000.0 136.7722 NA 160 0 NA NA 378 0 NA NA 7594 277 NA NA 9229 795 NA
1558386000.0 511.0 39 0 NA NA 178 0 NA NA 8891 108 NA NA 13329 218 NA NA
1558386000.0 513.0 16 40 0 NA 112 158 0 NA 630 190 111 NA 1312 586 231 NA
1558386000.0 516.0 13 32 0 NA 112 158 0 NA 784 244 161 NA 3236 729 792 NA
1558386000.0 519.0 13 33 0 NA 112 158 0 NA 855 216 148 NA 2177 534 372 NA
1558386000.0 521.0 13 32 0 NA 112 158 0 NA 784 213 146 NA 3119 532 368 NA
1558386000.0 523.0 16 45 0 NA 112 166 0 NA 1474 584 199 NA 3384 969 564 NA
1558386000.0 528.0 13 34 0 NA 112 159 0 NA 857 253 160 NA 2135 686 925 NA
1558386000.0 551.0 16 35 0 NA 112 155 0 NA 1394 392 257 NA 3475 800 658 NA
1558386000.0 554.0 13 39 0 NA 112 158 0 NA 1608 228 145 NA 3056 695 371 NA
1558386000.0 555.0 14 32 0 NA 112 158 0 NA 1491 212 147 NA 6743 450 395 NA
