Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1558040400.0 1.0 101 123 239 NA NA NA NA NA NA 203 595 563 NA NA NA NA NA NA 866 395 1044 NA NA NA NA NA NA 828 361 1183 NA NA NA NA NA NA
1558040400.0 10.0 NA 155 319 0 NA NA NA NA NA NA 669 713 0 NA NA NA NA NA NA 2636 4525 1148 NA NA NA NA NA NA 991 3012 1272 NA NA NA NA NA
1558040400.0 1000.0 NA 301 159 0 52 NA NA NA NA NA 664 294 0 110 NA NA NA NA NA 4105 1792 1233 501 NA NA NA NA NA 3149 1783 1419 589 NA NA NA NA
1558040400.0 10001.0 NA 183 369 0 74 NA NA NA NA NA 570 698 0 141 NA NA NA NA NA 1020 2714 1788 526 NA NA NA NA NA 693 3811 2238 3226 NA NA NA NA
1558040400.0 10002.0 NA 178 368 0 68 NA NA NA NA NA 582 727 0 148 NA NA NA NA NA 938 2507 1538 362 NA NA NA NA NA 1450 2716 1636 850 NA NA NA NA
1558040400.0 10003.0 NA 186 373 0 81 NA NA NA NA NA 619 695 0 142 NA NA NA NA NA 1014 2799 1642 600 NA NA NA NA NA 709 3580 1810 678 NA NA NA NA
1558040400.0 10004.0 NA 185 367 0 74 NA NA NA NA NA 575 664 0 126 NA NA NA NA NA 1044 2770 1617 484 NA NA NA NA NA 731 3579 2058 599 NA NA NA NA
1558040400.0 10005.0 NA 174 378 0 80 NA NA NA NA NA 616 647 0 129 NA NA NA NA NA 1012 2815 1650 479 NA NA NA NA NA 863 3013 1793 810 NA NA NA NA
1558040400.0 10006.0 NA 179 360 0 67 NA NA NA NA NA 629 746 0 132 NA NA NA NA NA 905 2469 1478 341 NA NA NA NA NA 897 3393 1660 469 NA NA NA NA
1558040400.0 10007.0 NA 183 371 0 77 NA NA NA NA NA 572 763 0 133 NA NA NA NA NA 1091 2782 1867 351 NA NA NA NA NA 810 3168 3242 492 NA NA NA NA
1558040400.0 10008.0 NA 183 374 0 70 NA NA NA NA NA 582 697 0 148 NA NA NA NA NA 989 2542 1524 369 NA NA NA NA NA 779 2819 1622 867 NA NA NA NA
1558040400.0 10009.0 NA 191 370 0 71 NA NA NA NA NA 618 751 0 132 NA NA NA NA NA 981 2869 1664 500 NA NA NA NA NA 699 3266 1970 560 NA NA NA NA
1558040400.0 1001.0 NA 291 127 0 0 0 0 0 0 NA 676 206 0 0 0 0 0 0 NA 3303 947 123 124 186 815 144 794 NA 2405 686 255 396 347 908 190 843
1558040400.0 1001.2 NA 413 156 0 NA NA NA NA NA NA 926 255 0 NA NA NA NA NA NA 15835 2435 144 NA NA NA NA NA NA 5814 1779 295 NA NA NA NA NA
1558040400.0 1002.0 NA 319 79 NA NA NA NA NA NA NA 682 158 NA NA NA NA NA NA NA 4149 614 NA NA NA NA NA NA NA 3207 501 NA NA NA NA NA NA
1558040400.0 10023.0 NA 182 366 0 85 NA NA NA NA NA 617 715 0 129 NA NA NA NA NA 1088 2896 1711 380 NA NA NA NA NA 1121 4654 1901 600 NA NA NA NA
1558040400.0 10024.0 NA 191 386 0 78 NA NA NA NA NA 636 794 0 154 NA NA NA NA NA 1047 2846 1625 893 NA NA NA NA NA 1870 4182 1880 1510 NA NA NA NA
1558040400.0 10024.1 NA 195 210 0 NA NA NA NA NA NA 625 345 0 NA NA NA NA NA NA 775 775 737 NA NA NA NA NA NA 647 776 1188 NA NA NA NA NA
1558040400.0 10024.2 NA 189 390 0 NA NA NA NA NA NA 621 685 0 NA NA NA NA NA NA 1180 3222 1810 NA NA NA NA NA NA 772 3004 2078 NA NA NA NA NA
1558040400.0 10024.3 NA 202 185 0 NA NA NA NA NA NA 622 378 0 NA NA NA NA NA NA 745 804 583 NA NA NA NA NA NA 454 1310 793 NA NA NA NA NA
1558040400.0 10024.4 NA 190 379 0 NA NA NA NA NA NA 621 775 0 NA NA NA NA NA NA 1170 3013 1737 NA NA NA NA NA NA 894 2801 1819 NA NA NA NA NA
1558040400.0 10024.5 NA 202 146 0 NA NA NA NA NA NA 623 237 0 NA NA NA NA NA NA 816 420 138 NA NA NA NA NA NA 552 515 192 NA NA NA NA NA
1558040400.0 10025.0 NA 186 379 0 79 NA NA NA NA NA 630 761 0 151 NA NA NA NA NA 1003 2613 1563 562 NA NA NA NA NA 1122 2651 1819 815 NA NA NA NA
1558040400.0 10026.0 NA 198 389 0 74 NA NA NA NA NA 638 760 0 144 NA NA NA NA NA 1068 3038 1640 507 NA NA NA NA NA 828 3669 2496 1728 NA NA NA NA
1558040400.0 1003.0 NA 295 0 NA NA NA NA NA NA NA 654 0 NA NA NA NA NA NA NA 4006 815 NA NA NA NA NA NA NA 2906 1186 NA NA NA NA NA NA
1558040400.0 1004.0 NA 220 93 0 0 0 0 NA NA NA 386 164 0 0 0 0 NA NA NA 1268 612 118 204 883 889 NA NA NA 2932 1955 452 481 1182 1230 NA NA
1558040400.0 10042.0 NA 184 380 0 77 NA NA NA NA NA 632 780 0 142 NA NA NA NA NA 1027 2683 1569 350 NA NA NA NA NA 1367 2915 1693 626 NA NA NA NA
1558040400.0 10059.0 NA 203 393 0 80 NA NA NA NA NA 598 795 0 144 NA NA NA NA NA 1129 3674 1654 386 NA NA NA NA NA 1424 2964 1862 835 NA NA NA NA
1558040400.0 10071.0 NA 201 383 0 71 NA NA NA NA NA 646 772 0 149 NA NA NA NA NA 1016 2836 1602 481 NA NA NA NA NA 1059 2702 1923 572 NA NA NA NA
1558040400.0 101.0 95 NA NA NA NA NA NA NA NA 173 NA NA NA NA NA NA NA NA 795 NA NA NA NA NA NA NA NA 981 NA NA NA NA NA NA NA NA
1558040400.0 1010.0 NA 30 37 0 NA NA NA NA NA NA 90 95 0 NA NA NA NA NA NA 114 240 174 NA NA NA NA NA NA 405 545 297 NA NA NA NA NA
1558040400.0 102.0 94 NA NA NA NA NA NA NA NA 173 NA NA NA NA NA NA NA NA 701 NA NA NA NA NA NA NA NA 992 NA NA NA NA NA NA NA NA
1558040400.0 1020.0 NA 76 26 0 70 NA NA NA NA NA 140 71 0 141 NA NA NA NA NA 323 107 66 300 NA NA NA NA NA 1095 402 213 544 NA NA NA NA
1558040400.0 10224.0 NA 365 621 0 NA NA NA NA NA NA 667 1059 0 NA NA NA NA NA NA 4592 6862 1701 NA NA NA NA NA NA 2068 4056 1816 NA NA NA NA NA
