Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1557867600.0 10001.0 NA 183 NA NA 605 NA NA 713 NA NA 540 NA
1557867600.0 10002.0 NA 182 NA NA 604 NA NA 692 NA NA 476 NA
1557867600.0 10003.0 NA 184 NA NA 605 NA NA 710 NA NA 564 NA
1557867600.0 10004.0 NA 174 NA NA 560 NA NA 700 NA NA 499 NA
1557867600.0 10005.0 NA 181 NA NA 559 NA NA 744 NA NA 546 NA
1557867600.0 10007.0 NA 184 NA NA 558 NA NA 783 NA NA 531 NA
1557867600.0 10008.0 NA 183 NA NA 561 NA NA 769 NA NA 558 NA
1557867600.0 10009.0 NA 184 NA NA 603 NA NA 800 NA NA 568 NA
1557867600.0 10023.0 NA 181 NA NA 604 NA NA 796 NA NA 569 NA
1557867600.0 10024.0 NA 192 NA NA 604 NA NA 799 NA NA 571 NA
1557867600.0 10024.4 NA 189 NA NA 606 NA NA 792 NA NA 687 NA
1557867600.0 10025.0 NA 185 NA NA 603 NA NA 859 NA NA 765 NA
1557867600.0 10026.0 NA 191 NA NA 560 NA NA 822 NA NA 676 NA
1557867600.0 10042.0 NA 186 NA NA 602 NA NA 873 NA NA 782 NA
1557867600.0 10059.0 NA 193 NA NA 606 NA NA 879 NA NA 547 NA
1557867600.0 10071.0 NA 192 NA NA 602 NA NA 802 NA NA 524 NA
1557867600.0 10224.0 NA 360 NA NA 620 NA NA 3233 NA NA 3011 NA
1557867600.0 10225.0 NA 357 NA NA 531 NA NA 3145 NA NA 1458 NA
1557867600.0 10801.0 NA 264 NA NA 614 NA NA 2006 NA NA 1691 NA
1557867600.0 10802.0 NA 269 NA NA 660 NA NA 2039 NA NA 1706 NA
1557867600.0 10803.0 NA 274 NA NA 659 NA NA 2185 NA NA 1840 NA
1557867600.0 10804.0 NA 261 NA NA 659 NA NA 2113 NA NA 1832 NA
1557867600.0 10805.0 NA 271 NA NA 615 NA NA 2094 NA NA 1792 NA
1557867600.0 10807.0 NA 273 NA NA 704 NA NA 2175 NA NA 1839 NA
1557867600.0 10808.0 NA 264 NA NA 704 NA NA 2124 NA NA 1836 NA
1557867600.0 10809.0 NA 271 NA NA 661 NA NA 2137 NA NA 1807 NA
