Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1558386000.0 1000.0 NA 281 147 0 44 NA NA NA NA NA 629 299 0 100 NA NA NA NA NA 3412 1415 856 348 NA NA NA NA NA 5107 2221 1096 617 NA NA NA NA
1558386000.0 10005.0 NA 177 NA NA NA NA NA NA NA NA 605 NA NA NA NA NA NA NA NA 785 NA NA NA NA NA NA NA NA 816 NA NA NA NA NA NA NA
1558386000.0 1001.0 NA 256 113 0 0 0 0 0 0 NA 642 173 0 0 0 0 0 0 NA 3100 796 111 91 150 297 135 305 NA 4889 2105 353 231 802 812 208 576
1558386000.0 10026.0 NA 180 NA NA NA NA NA NA NA NA 605 NA NA NA NA NA NA NA NA 884 NA NA NA NA NA NA NA NA 1718 NA NA NA NA NA NA NA
1558386000.0 1004.0 NA 211 91 0 0 0 0 NA NA NA 330 158 0 0 0 0 NA NA NA 1931 385 96 142 296 289 NA NA NA 3017 1415 293 331 432 374 NA NA
1558386000.0 1010.0 NA 26 38 0 NA NA NA NA NA NA 83 95 0 NA NA NA NA NA NA 149 224 154 NA NA NA NA NA NA 310 396 233 NA NA NA NA NA
1558386000.0 1020.0 NA 68 23 0 67 NA NA NA NA NA 143 68 0 140 NA NA NA NA NA 269 129 89 264 NA NA NA NA NA 588 276 245 402 NA NA NA NA
1558386000.0 1030.0 NA 194 42 0 0 NA NA NA NA NA 458 94 0 0 NA NA NA NA NA 7748 298 88 81 NA NA NA NA NA 3488 397 608 167 NA NA NA NA
1558386000.0 1040.0 NA 360 23 0 NA NA NA NA NA NA 788 72 0 NA NA NA NA NA NA 12385 164 139 NA NA NA NA NA NA 5651 260 209 NA NA NA NA NA
1558386000.0 1040.1 NA 69 26 0 NA NA NA NA NA NA 128 72 0 NA NA NA NA NA NA 548 166 139 NA NA NA NA NA NA 699 417 282 NA NA NA NA NA
1558386000.0 10802.0 NA 257 NA NA NA NA NA NA NA NA 704 NA NA NA NA NA NA NA NA 2590 NA NA NA NA NA NA NA NA 4474 NA NA NA NA NA NA NA
1558386000.0 10824.0 NA 280 NA NA NA NA NA NA NA NA 704 NA NA NA NA NA NA NA NA 2763 NA NA NA NA NA NA NA NA 4586 NA NA NA NA NA NA NA
1558386000.0 10824.8 NA 287 NA NA NA NA NA NA NA NA 705 NA NA NA NA NA NA NA NA 2617 NA NA NA NA NA NA NA NA 4062 NA NA NA NA NA NA NA
1558386000.0 11624.0 NA 180 NA NA NA NA NA NA NA NA 606 NA NA NA NA NA NA NA NA 918 NA NA NA NA NA NA NA NA 811 NA NA NA NA NA NA NA
1558386000.0 1302.18 69 258 197 NA NA NA NA NA NA 141 699 584 NA NA NA NA NA NA 3252 2223 1398 NA NA NA NA NA NA 3464 3248 1812 NA NA NA NA NA NA
1558386000.0 1306.0 NA 146 319 0 NA NA NA NA NA NA 605 689 0 NA NA NA NA NA NA 605 2009 740 NA NA NA NA NA NA 1231 3590 1008 NA NA NA NA NA
1558386000.0 1307.0 NA 148 180 42 0 NA NA NA NA NA 597 273 95 0 NA NA NA NA NA 574 826 181 378 NA NA NA NA NA 826 1748 469 793 NA NA NA NA
1558386000.0 1308.0 NA 147 187 35 0 NA NA NA NA NA 555 288 88 0 NA NA NA NA NA 544 725 164 363 NA NA NA NA NA 931 1757 752 509 NA NA NA NA
1558386000.0 1311.0 NA 169 302 0 58 NA NA NA NA NA 603 685 0 120 NA NA NA NA NA 571 1627 802 709 NA NA NA NA NA 1025 4317 1072 891 NA NA NA NA
1558386000.0 1323.0 NA 179 317 0 NA NA NA NA NA NA 604 690 0 NA NA NA NA NA NA 566 2008 747 NA NA NA NA NA NA 826 2963 1261 NA NA NA NA NA
1558386000.0 1325.1 NA 164 166 0 NA NA NA NA NA NA 605 275 0 NA NA NA NA NA NA 627 794 339 NA NA NA NA NA NA 635 1235 427 NA NA NA NA NA
1558386000.0 135.8 140 NA NA NA NA NA NA NA NA 262 NA NA NA NA NA NA NA NA 472 NA NA NA NA NA NA NA NA 605 NA NA NA NA NA NA NA NA
1558386000.0 136.7801 NA 96 0 NA NA NA NA NA NA NA 180 0 NA NA NA NA NA NA NA 487 283 NA NA NA NA NA NA NA 1064 433 NA NA NA NA NA NA
1558386000.0 136.7802 NA 64 0 NA NA NA NA NA NA NA 131 0 NA NA NA NA NA NA NA 336 178 NA NA NA NA NA NA NA 558 263 NA NA NA NA NA NA
1558386000.0 136.7803 NA 100 0 NA NA NA NA NA NA NA 187 0 NA NA NA NA NA NA NA 641 255 NA NA NA NA NA NA NA 1193 581 NA NA NA NA NA NA
1558386000.0 140.51 NA 74 209 0 NA NA NA NA NA NA 157 348 0 NA NA NA NA NA NA 586 1853 431 NA NA NA NA NA NA 493 3079 589 NA NA NA NA NA
1558386000.0 158.0 63 240 367 62 0 NA NA NA NA 125 638 798 120 0 NA NA NA NA 4256 1070 2668 281 1381 NA NA NA NA 3451 1496 2792 631 1610 NA NA NA NA
1558386000.0 158.3 NA 250 360 0 NA NA NA NA NA NA 642 711 0 NA NA NA NA NA NA 1033 2442 1371 NA NA NA NA NA NA 4405 4774 2172 NA NA NA NA NA
1558386000.0 25.0 NA 132 NA NA NA NA NA NA NA NA 601 NA NA NA NA NA NA NA NA 2651 NA NA NA NA NA NA NA NA 1981 NA NA NA NA NA NA NA
1558386000.0 250399.0 218 NA NA NA NA NA NA NA NA 622 NA NA NA NA NA NA NA NA 1190 NA NA NA NA NA NA NA NA 1208 NA NA NA NA NA NA NA NA
1558386000.0 281.0 92 155 299 0 NA NA NA NA NA 283 555 696 0 NA NA NA NA NA 2316 638 1710 769 NA NA NA NA NA 2410 727 3791 1369 NA NA NA NA NA
1558386000.0 4.29 NA 29 NA NA NA NA NA NA NA NA 90 NA NA NA NA NA NA NA NA 363 NA NA NA NA NA NA NA NA 456 NA NA NA NA NA NA NA
1558386000.0 503.0 28 0 NA NA NA NA NA NA NA 78 0 NA NA NA NA NA NA NA 284 149 NA NA NA NA NA NA NA 374 231 NA NA NA NA NA NA NA
1558386000.0 504.0 27 0 NA NA NA NA NA NA NA 79 0 NA NA NA NA NA NA NA 222 147 NA NA NA NA NA NA NA 349 242 NA NA NA NA NA NA NA
1558386000.0 505.0 31 0 NA NA NA NA NA NA NA 78 0 NA NA NA NA NA NA NA 201 156 NA NA NA NA NA NA NA 358 352 NA NA NA NA NA NA NA
1558386000.0 506.0 31 0 NA NA NA NA NA NA NA 77 0 NA NA NA NA NA NA NA 198 151 NA NA NA NA NA NA NA 383 305 NA NA NA NA NA NA NA
1558386000.0 507.0 25 0 NA NA NA NA NA NA NA 76 0 NA NA NA NA NA NA NA 224 151 NA NA NA NA NA NA NA 357 285 NA NA NA NA NA NA NA
1558386000.0 508.0 29 0 NA NA NA NA NA NA NA 76 0 NA NA NA NA NA NA NA 189 154 NA NA NA NA NA NA NA 438 245 NA NA NA NA NA NA NA
1558386000.0 509.0 28 0 NA NA NA NA NA NA NA 76 0 NA NA NA NA NA NA NA 183 154 NA NA NA NA NA NA NA 291 310 NA NA NA NA NA NA NA
1558386000.0 510.0 30 0 NA NA NA NA NA NA NA 77 0 NA NA NA NA NA NA NA 294 158 NA NA NA NA NA NA NA 446 261 NA NA NA NA NA NA NA
1558386000.0 511.0 33 0 NA NA NA NA NA NA NA 104 0 NA NA NA NA NA NA NA 9817 155 NA NA NA NA NA NA NA 14951 281 NA NA NA NA NA NA NA
1558386000.0 512.0 13 29 0 NA NA NA NA NA NA 58 86 0 NA NA NA NA NA NA 3131 244 144 NA NA NA NA NA NA 39811 376 260 NA NA NA NA NA NA
1558386000.0 513.0 13 35 0 NA NA NA NA NA NA 58 87 0 NA NA NA NA NA NA 806 217 154 NA NA NA NA NA NA 6791 403 254 NA NA NA NA NA NA
1558386000.0 514.0 13 29 0 NA NA NA NA NA NA 57 87 0 NA NA NA NA NA NA 406 218 158 NA NA NA NA NA NA 1229 304 312 NA NA NA NA NA NA
1558386000.0 515.0 13 28 0 NA NA NA NA NA NA 58 86 0 NA NA NA NA NA NA 3139 202 170 NA NA NA NA NA NA 40115 323 546 NA NA NA NA NA NA
1558386000.0 516.0 13 32 0 NA NA NA NA NA NA 58 86 0 NA NA NA NA NA NA 836 238 148 NA NA NA NA NA NA 11349 507 229 NA NA NA NA NA NA
1558386000.0 517.0 13 28 0 NA NA NA NA NA NA 57 88 0 NA NA NA NA NA NA 937 219 151 NA NA NA NA NA NA 1661 367 271 NA NA NA NA NA NA
1558386000.0 518.0 13 29 0 NA NA NA NA NA NA 57 86 0 NA NA NA NA NA NA 3130 221 165 NA NA NA NA NA NA 40115 319 487 NA NA NA NA NA NA
1558386000.0 519.0 13 33 0 NA NA NA NA NA NA 58 86 0 NA NA NA NA NA NA 836 215 152 NA NA NA NA NA NA 11349 308 246 NA NA NA NA NA NA
