Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1558040400.0 1.0 98 NA NA NA NA NA NA NA NA 194 NA NA NA NA NA NA NA NA 1631 NA NA NA NA NA NA NA NA 1523 NA NA NA NA NA NA NA NA
1558040400.0 10.0 NA 134 312 0 NA NA NA NA NA NA 558 661 0 NA NA NA NA NA NA 3691 5466 812 NA NA NA NA NA NA 2404 3708 1089 NA NA NA NA NA
1558040400.0 1000.0 NA 312 186 0 52 NA NA NA NA NA 614 273 0 102 NA NA NA NA NA 3166 1197 713 454 NA NA NA NA NA 2568 1748 888 690 NA NA NA NA
1558040400.0 10001.0 NA 171 369 0 68 NA NA NA NA NA 558 741 0 127 NA NA NA NA NA 745 2125 1022 273 NA NA NA NA NA 635 3355 1139 443 NA NA NA NA
1558040400.0 10002.0 NA 174 367 0 68 NA NA NA NA NA 562 719 0 126 NA NA NA NA NA 735 2083 1024 463 NA NA NA NA NA 1146 2412 1132 587 NA NA NA NA
1558040400.0 10003.0 NA 173 374 0 68 NA NA NA NA NA 606 708 0 126 NA NA NA NA NA 780 2145 1020 280 NA NA NA NA NA 1004 2419 1207 490 NA NA NA NA
1558040400.0 10004.0 NA 176 372 0 67 NA NA NA NA NA 605 704 0 124 NA NA NA NA NA 752 2040 1015 281 NA NA NA NA NA 1254 2377 1098 652 NA NA NA NA
1558040400.0 10005.0 NA 175 368 0 76 NA NA NA NA NA 560 750 0 124 NA NA NA NA NA 751 2055 1056 393 NA NA NA NA NA 1392 2380 1166 463 NA NA NA NA
1558040400.0 10006.0 NA 173 354 0 66 NA NA NA NA NA 559 740 0 125 NA NA NA NA NA 731 2037 1031 280 NA NA NA NA NA 850 2498 1211 601 NA NA NA NA
1558040400.0 10007.0 NA 177 367 0 77 NA NA NA NA NA 606 750 0 124 NA NA NA NA NA 745 2125 1036 284 NA NA NA NA NA 1357 3837 1156 499 NA NA NA NA
1558040400.0 10008.0 NA 174 374 0 70 NA NA NA NA NA 606 709 0 133 NA NA NA NA NA 739 2116 1038 277 NA NA NA NA NA 951 2512 1149 434 NA NA NA NA
1558040400.0 10009.0 NA 177 369 0 77 NA NA NA NA NA 561 749 0 125 NA NA NA NA NA 777 2147 1036 278 NA NA NA NA NA 1331 2477 1169 799 NA NA NA NA
1558040400.0 1001.0 NA 274 116 0 0 0 0 0 0 NA 601 181 0 0 0 0 0 0 NA 2840 704 92 95 134 318 121 273 NA 2471 1586 173 324 280 468 211 322
1558040400.0 1001.2 NA 400 146 0 NA NA NA NA NA NA 768 210 0 NA NA NA NA NA NA 15280 1823 145 NA NA NA NA NA NA 6327 1026 263 NA NA NA NA NA
1558040400.0 1002.0 NA 325 85 NA NA NA NA NA NA NA 674 137 NA NA NA NA NA NA NA 3326 418 NA NA NA NA NA NA NA 2398 339 NA NA NA NA NA NA
1558040400.0 10023.0 NA 175 365 0 68 NA NA NA NA NA 559 728 0 132 NA NA NA NA NA 716 2034 1036 278 NA NA NA NA NA 1289 3290 1145 494 NA NA NA NA
1558040400.0 10024.0 NA 183 381 0 70 NA NA NA NA NA 606 773 0 128 NA NA NA NA NA 842 2403 1057 290 NA NA NA NA NA 900 2538 1269 460 NA NA NA NA
1558040400.0 10024.1 NA 186 189 0 NA NA NA NA NA NA 606 345 0 NA NA NA NA NA NA 832 828 346 NA NA NA NA NA NA 512 1070 514 NA NA NA NA NA
1558040400.0 10024.2 NA 185 379 0 NA NA NA NA NA NA 607 698 0 NA NA NA NA NA NA 840 2385 1044 NA NA NA NA NA NA 652 3422 1261 NA NA NA NA NA
1558040400.0 10024.3 NA 189 178 0 NA NA NA NA NA NA 606 323 0 NA NA NA NA NA NA 846 833 307 NA NA NA NA NA NA 636 1342 384 NA NA NA NA NA
1558040400.0 10024.4 NA 184 384 0 NA NA NA NA NA NA 561 788 0 NA NA NA NA NA NA 930 2492 1092 NA NA NA NA NA NA 1181 2628 1169 NA NA NA NA NA
1558040400.0 10024.5 NA 187 145 0 NA NA NA NA NA NA 561 235 0 NA NA NA NA NA NA 886 551 154 NA NA NA NA NA NA 1169 806 274 NA NA NA NA NA
1558040400.0 10025.0 NA 179 378 0 69 NA NA NA NA NA 603 741 0 125 NA NA NA NA NA 815 2279 1087 321 NA NA NA NA NA 1110 2614 1180 574 NA NA NA NA
1558040400.0 10026.0 NA 182 385 0 69 NA NA NA NA NA 605 751 0 126 NA NA NA NA NA 920 2692 1132 466 NA NA NA NA NA 1407 2689 1340 534 NA NA NA NA
1558040400.0 1003.0 NA 289 0 NA NA NA NA NA NA NA 608 0 NA NA NA NA NA NA NA 3228 686 NA NA NA NA NA NA NA 1944 824 NA NA NA NA NA NA
1558040400.0 1004.0 NA 222 91 0 0 0 0 NA NA NA 345 152 0 0 0 0 NA NA NA 969 452 74 129 276 267 NA NA NA 1220 2135 139 225 312 335 NA NA
1558040400.0 10042.0 NA 179 378 0 76 NA NA NA NA NA 608 679 0 136 NA NA NA NA NA 834 2336 1109 320 NA NA NA NA NA 829 2582 1183 512 NA NA NA NA
1558040400.0 10059.0 NA 188 392 0 70 NA NA NA NA NA 606 791 0 127 NA NA NA NA NA 956 3235 1107 833 NA NA NA NA NA 1233 2822 1223 993 NA NA NA NA
1558040400.0 10071.0 NA 182 384 0 77 NA NA NA NA NA 561 730 0 132 NA NA NA NA NA 894 2481 1102 436 NA NA NA NA NA 1040 2546 1328 463 NA NA NA NA
1558040400.0 101.0 86 NA NA NA NA NA NA NA NA 167 NA NA NA NA NA NA NA NA 1493 NA NA NA NA NA NA NA NA 2709 NA NA NA NA NA NA NA NA
1558040400.0 1010.0 NA 28 43 0 NA NA NA NA NA NA 83 94 0 NA NA NA NA NA NA 117 206 136 NA NA NA NA NA NA 253 389 219 NA NA NA NA NA
1558040400.0 102.0 96 NA NA NA NA NA NA NA NA 166 NA NA NA NA NA NA NA NA 810 NA NA NA NA NA NA NA NA 1375 NA NA NA NA NA NA NA NA
1558040400.0 1020.0 NA 70 22 0 85 NA NA NA NA NA 137 71 0 148 NA NA NA NA NA 273 97 76 292 NA NA NA NA NA 501 426 248 450 NA NA NA NA
1558040400.0 10224.0 NA 344 603 0 NA NA NA NA NA NA 672 995 0 NA NA NA NA NA NA 3305 5166 1129 NA NA NA NA NA NA 1468 3286 1198 NA NA NA NA NA
1558040400.0 10225.0 NA 352 625 0 NA NA NA NA NA NA 621 995 0 NA NA NA NA NA NA 3382 4685 1129 NA NA NA NA NA NA 1704 3176 1212 NA NA NA NA NA
1558040400.0 103.0 41 0 0 NA NA NA NA NA NA 98 0 0 NA NA NA NA NA NA 480 238 1753 NA NA NA NA NA NA 837 374 2143 NA NA NA NA NA NA
1558040400.0 1030.0 NA 185 46 0 0 NA NA NA NA NA 356 97 0 0 NA NA NA NA NA 7560 258 77 131 NA NA NA NA NA 3471 254 123 320 NA NA NA NA
1558040400.0 1040.0 NA 364 34 0 NA NA NA NA NA NA 638 74 0 NA NA NA NA NA NA 17336 149 120 NA NA NA NA NA NA 6774 250 166 NA NA NA NA NA
1558040400.0 1040.1 NA 78 32 0 NA NA NA NA NA NA 137 74 0 NA NA NA NA NA NA 369 179 114 NA NA NA NA NA NA 995 393 237 NA NA NA NA NA
1558040400.0 10424.0 NA 176 376 0 NA NA NA NA NA NA 561 739 0 NA NA NA NA NA NA 787 2418 1092 NA NA NA NA NA NA 822 2422 1199 NA NA NA NA NA
1558040400.0 105.0 77 NA NA NA NA NA NA NA NA 201 NA NA NA NA NA NA NA NA 1072 NA NA NA NA NA NA NA NA 1199 NA NA NA NA NA NA NA NA
1558040400.0 106.0 42 0 0 NA NA NA NA NA NA 99 0 0 NA NA NA NA NA NA 509 290 1692 NA NA NA NA NA NA 897 409 1974 NA NA NA NA NA NA
1558040400.0 107.0 76 NA NA NA NA NA NA NA NA 206 NA NA NA NA NA NA NA NA 1984 NA NA NA NA NA NA NA NA 1459 NA NA NA NA NA NA NA NA
1558040400.0 108.0 76 NA NA NA NA NA NA NA NA 198 NA NA NA NA NA NA NA NA 2900 NA NA NA NA NA NA NA NA 2260 NA NA NA NA NA NA NA NA
1558040400.0 10801.0 NA 259 400 0 85 144 NA NA NA NA 637 742 0 150 250 NA NA NA NA 2152 2494 2059 495 832 NA NA NA NA 2640 2504 2185 785 1105 NA NA NA
1558040400.0 10802.0 NA 260 401 0 83 157 NA NA NA NA 681 728 0 139 266 NA NA NA NA 2181 2544 2221 506 862 NA NA NA NA 3910 4603 2372 831 1337 NA NA NA
1558040400.0 10803.0 NA 265 404 0 85 159 NA NA NA NA 634 775 0 144 279 NA NA NA NA 2215 2584 2077 498 849 NA NA NA NA 2550 2726 2190 593 1062 NA NA NA
1558040400.0 10804.0 NA 252 389 0 86 149 NA NA NA NA 683 742 0 138 258 NA NA NA NA 2141 2485 2078 666 843 NA NA NA NA 3787 4015 2238 655 970 NA NA NA
1558040400.0 10805.0 NA 254 399 0 87 153 NA NA NA NA 680 733 0 141 268 NA NA NA NA 2094 2537 2099 597 829 NA NA NA NA 4546 3221 2418 594 1007 NA NA NA
1558040400.0 10806.0 NA 251 391 0 84 121 NA NA NA NA 637 739 0 147 216 NA NA NA NA 2093 2458 2019 497 903 NA NA NA NA 4643 4448 2130 1065 1502 NA NA NA
1558040400.0 10807.0 NA 264 399 0 93 149 NA NA NA NA 639 767 0 156 263 NA NA NA NA 2194 2557 2115 507 838 NA NA NA NA 2591 2552 2256 743 979 NA NA NA
1558040400.0 10808.0 NA 260 402 0 94 153 NA NA NA NA 637 670 0 158 275 NA NA NA NA 2153 2521 2123 516 818 NA NA NA NA 2767 2547 2305 605 963 NA NA NA
1558040400.0 10809.0 NA 256 398 0 102 159 NA NA NA NA 679 718 0 152 264 NA NA NA NA 2148 2568 2053 530 885 NA NA NA NA 3366 2820 2166 782 1408 NA NA NA
