Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1558216800.0 101.0 88 NA NA NA NA 185 NA NA NA NA 918 NA NA NA NA 1485 NA NA NA NA
1558216800.0 102.0 91 NA NA NA NA 186 NA NA NA NA 808 NA NA NA NA 1122 NA NA NA NA
1558216800.0 1020.0 NA 75 23 0 70 NA 139 71 0 145 NA 268 134 89 282 NA 618 456 420 681
1558216800.0 135.8 142 NA NA NA NA 280 NA NA NA NA 497 NA NA NA NA 1217 NA NA NA NA
1558216800.0 136.8311 NA 183 0 NA NA NA 335 0 NA NA NA 2350 179 NA NA NA 3491 650 NA NA
1558216800.0 2018.8 187 NA NA NA NA 336 NA NA NA NA 574 NA NA NA NA 1853 NA NA NA NA
1558216800.0 503.0 35 0 NA NA NA 104 0 NA NA NA 251 164 NA NA NA 949 402 NA NA NA
1558216800.0 505.0 36 0 NA NA NA 101 0 NA NA NA 227 163 NA NA NA 489 726 NA NA NA
1558216800.0 513.0 14 34 0 NA NA 76 109 0 NA NA 646 230 160 NA NA 1828 888 435 NA NA
1558216800.0 518.0 14 32 0 NA NA 76 107 0 NA NA 3069 231 161 NA NA 31328 656 530 NA NA
1558216800.0 520.0 14 41 0 NA NA 67 111 0 NA NA 943 257 165 NA NA 1597 434 703 NA NA
1558216800.0 524.0 14 37 0 NA NA 65 110 0 NA NA 941 249 165 NA NA 1653 958 709 NA NA
1558216800.0 525.0 14 39 0 NA NA 67 108 0 NA NA 710 271 164 NA NA 5351 1503 387 NA NA
1558216800.0 526.0 14 32 0 NA NA 78 107 0 NA NA 3072 229 161 NA NA 31324 637 407 NA NA
1558216800.0 528.0 14 35 0 NA NA 76 109 0 NA NA 690 238 164 NA NA 3120 886 451 NA NA
1558216800.0 530.0 14 35 0 NA NA 68 110 0 NA NA 862 244 158 NA NA 1694 955 434 NA NA
1558216800.0 534.0 41 0 NA NA NA 122 0 NA NA NA 243 169 NA NA NA 916 794 NA NA NA
1558216800.0 552.0 14 39 0 NA NA 66 109 0 NA NA 938 238 162 NA NA 1387 842 529 NA NA
