Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1558299600.0 10024.1 NA 184 189 0 NA NA NA NA 568 388 0 NA NA NA NA 1589 1890 1415 NA NA NA NA 1140 2361 1728 NA NA NA
1558299600.0 1004.0 NA 215 98 0 0 0 0 NA 362 161 0 0 0 0 NA 1109 451 94 175 799 817 NA 2243 601 350 413 1121 1127
1558299600.0 101.0 94 NA NA NA NA NA NA 167 NA NA NA NA NA NA 1320 NA NA NA NA NA NA 1850 NA NA NA NA NA NA
1558299600.0 1010.0 NA 25 35 0 NA NA NA NA 86 100 0 NA NA NA NA 346 552 377 NA NA NA NA 1574 1320 739 NA NA NA
1558299600.0 102.0 86 NA NA NA NA NA NA 154 NA NA NA NA NA NA 1131 NA NA NA NA NA NA 1856 NA NA NA NA NA NA
1558299600.0 1020.0 NA 65 19 0 73 NA NA NA 137 72 0 152 NA NA NA 650 280 105 603 NA NA NA 1318 910 166 1106 NA NA
1558299600.0 1040.1 NA 67 25 0 NA NA NA NA 134 75 0 NA NA NA NA 928 258 242 NA NA NA NA 1514 592 590 NA NA NA
1558299600.0 10824.7 NA 290 411 0 92 157 NA NA 688 776 0 155 261 NA NA 2431 3126 2673 553 1048 NA NA 2578 3680 2918 795 1664 NA
1558299600.0 10825.0 NA 272 408 0 82 154 NA NA 641 681 0 148 271 NA NA 2319 2913 2653 537 1043 NA NA 2674 4127 3280 1105 1171 NA
1558299600.0 10859.0 NA 290 417 0 91 157 NA NA 686 779 0 157 261 NA NA 2470 3875 2674 574 1005 NA NA 2568 4393 3330 1104 1434 NA
1558299600.0 122.0 39 0 0 NA NA NA NA 103 0 0 NA NA NA NA 479 261 1797 NA NA NA NA 944 537 2789 NA NA NA NA
1558299600.0 1325.1 NA 147 158 0 NA NA NA NA 565 278 0 NA NA NA NA 1225 1366 1131 NA NA NA NA 878 1738 1285 NA NA NA
1558299600.0 1325.3 NA 152 153 0 NA NA NA NA 565 268 0 NA NA NA NA 914 1553 1106 NA NA NA NA 996 1851 1522 NA NA NA
1558299600.0 1325.5 NA 156 0 NA NA NA NA NA 283 0 NA NA NA NA NA 4636 182 NA NA NA NA NA 6590 540 NA NA NA NA
1558299600.0 1325.51 NA 158 0 NA NA NA NA NA 258 0 NA NA NA NA NA 2920 283 NA NA NA NA NA 3650 387 NA NA NA NA
1558299600.0 1329.1 NA 169 0 NA NA NA NA NA 312 0 NA NA NA NA NA 5626 171 NA NA NA NA NA 6722 620 NA NA NA NA
1558299600.0 134.813 NA 154 63 0 NA NA NA NA 272 121 0 NA NA NA NA 1731 407 660 NA NA NA NA 1608 734 1163 NA NA NA
1558299600.0 135.8 162 NA NA NA NA NA NA 237 NA NA NA NA NA NA 715 NA NA NA NA NA NA 1015 NA NA NA NA NA NA
1558299600.0 136.733 NA 163 63 0 NA NA NA NA 292 130 0 NA NA NA NA 1334 745 436 NA NA NA NA 2817 1231 1114 NA NA NA
1558299600.0 136.7611 NA 173 0 NA NA NA NA NA 302 0 NA NA NA NA NA 5400 203 NA NA NA NA NA 7495 1064 NA NA NA NA
1558299600.0 136.7721 NA 170 0 NA NA NA NA NA 279 0 NA NA NA NA NA 4930 187 NA NA NA NA NA 6612 492 NA NA NA NA
1558299600.0 136.7722 NA 164 0 NA NA NA NA NA 279 0 NA NA NA NA NA 5315 156 NA NA NA NA NA 6519 279 NA NA NA NA
1558299600.0 136.7801 NA 109 0 NA NA NA NA NA 178 0 NA NA NA NA NA 906 476 NA NA NA NA NA 1669 840 NA NA NA NA
1558299600.0 136.7802 NA 73 0 NA NA NA NA NA 138 0 NA NA NA NA NA 645 273 NA NA NA NA NA 1393 612 NA NA NA NA
1558299600.0 136.7803 NA 110 0 NA NA NA NA NA 193 0 NA NA NA NA NA 1074 417 NA NA NA NA NA 2118 858 NA NA NA NA
1558299600.0 136.785 NA 107 437 0 NA NA NA NA 187 828 0 NA NA NA NA 832 19278 1253 NA NA NA NA 990 7580 1741 NA NA NA
1558299600.0 136.7952 NA 188 0 NA NA NA NA NA 303 0 NA NA NA NA NA 5828 301 NA NA NA NA NA 4177 628 NA NA NA NA
1558299600.0 136.8311 NA 176 0 NA NA NA NA NA 281 0 NA NA NA NA NA 3817 294 NA NA NA NA NA 3501 427 NA NA NA NA
1558299600.0 136.8521 NA 177 0 NA NA NA NA NA 284 0 NA NA NA NA NA 3935 312 NA NA NA NA NA 3143 603 NA NA NA NA
1558299600.0 140.56 NA 698 0 NA NA NA NA NA 1245 0 NA NA NA NA NA 19687 1104 NA NA NA NA NA 9677 1506 NA NA NA NA
1558299600.0 2017.3 333 0 122 NA NA NA NA 888 0 205 NA NA NA NA 1509 449 721 NA NA NA NA 1969 735 1841 NA NA NA NA
