Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1558386000.0 1.0 68 100 192 NA NA NA NA NA NA 173 590 558 NA NA NA NA NA NA 1156 566 1452 NA NA NA NA NA NA 2738 2217 2354 NA NA NA NA NA NA
1558386000.0 10.0 NA 130 304 0 NA NA NA NA NA NA 594 668 0 NA NA NA NA NA NA 2588 4437 1082 NA NA NA NA NA NA 1816 3322 1308 NA NA NA NA NA
1558386000.0 1000.0 NA 292 155 0 51 NA NA NA NA NA 636 291 0 100 NA NA NA NA NA 3493 1493 986 376 NA NA NA NA NA 4835 1520 1148 643 NA NA NA NA
1558386000.0 10001.0 NA 169 366 0 74 NA NA NA NA NA 609 752 0 128 NA NA NA NA NA 752 2265 1379 516 NA NA NA NA NA 802 2524 1698 682 NA NA NA NA
1558386000.0 10002.0 NA 172 363 0 67 NA NA NA NA NA 563 679 0 130 NA NA NA NA NA 783 2298 1377 326 NA NA NA NA NA 1078 2675 1492 578 NA NA NA NA
1558386000.0 10003.0 NA 173 365 0 73 NA NA NA NA NA 566 775 0 128 NA NA NA NA NA 808 2421 1456 354 NA NA NA NA NA 1147 2435 1531 790 NA NA NA NA
1558386000.0 10004.0 NA 170 366 0 74 NA NA NA NA NA 608 610 0 126 NA NA NA NA NA 845 2391 1419 508 NA NA NA NA NA 846 2364 1546 682 NA NA NA NA
1558386000.0 10005.0 NA 172 365 0 65 NA NA NA NA NA 564 774 0 126 NA NA NA NA NA 773 2349 1375 486 NA NA NA NA NA 819 2805 2075 641 NA NA NA NA
1558386000.0 10006.0 NA 173 353 0 65 NA NA NA NA NA 609 740 0 127 NA NA NA NA NA 747 2173 1384 325 NA NA NA NA NA 697 2627 1603 723 NA NA NA NA
1558386000.0 10007.0 NA 172 372 0 66 NA NA NA NA NA 609 763 0 127 NA NA NA NA NA 803 2399 1455 369 NA NA NA NA NA 990 2616 1603 1473 NA NA NA NA
1558386000.0 10008.0 NA 173 370 0 75 NA NA NA NA NA 609 740 0 123 NA NA NA NA NA 772 2308 1390 321 NA NA NA NA NA 887 2861 1471 498 NA NA NA NA
1558386000.0 10009.0 NA 171 367 0 66 NA NA NA NA NA 611 749 0 126 NA NA NA NA NA 882 2524 1509 376 NA NA NA NA NA 867 2844 1825 2546 NA NA NA NA
1558386000.0 1001.0 NA 268 113 0 0 0 0 0 0 NA 652 188 0 0 0 0 0 0 NA 3128 745 104 90 162 740 146 763 NA 2904 1211 159 208 209 926 483 1386
1558386000.0 1001.2 NA 394 130 0 NA NA NA NA NA NA 810 207 0 NA NA NA NA NA NA 15535 2122 125 NA NA NA NA NA NA 5568 1193 192 NA NA NA NA NA
1558386000.0 1002.0 NA 310 75 NA NA NA NA NA NA NA 727 129 NA NA NA NA NA NA NA 3640 557 NA NA NA NA NA NA NA 2697 645 NA NA NA NA NA NA
1558386000.0 10023.0 NA 174 357 0 67 NA NA NA NA NA 565 753 0 127 NA NA NA NA NA 787 2268 1441 856 NA NA NA NA NA 807 2835 1599 1438 NA NA NA NA
1558386000.0 10024.0 NA 180 378 0 67 NA NA NA NA NA 567 779 0 126 NA NA NA NA NA 902 2720 1494 478 NA NA NA NA NA 650 2569 1574 540 NA NA NA NA
1558386000.0 10024.1 NA 180 187 0 NA NA NA NA NA NA 566 359 0 NA NA NA NA NA NA 1027 1051 783 NA NA NA NA NA NA 1440 2089 1009 NA NA NA NA NA
1558386000.0 10024.2 NA 184 379 0 NA NA NA NA NA NA 625 750 0 NA NA NA NA NA NA 1022 2721 1476 NA NA NA NA NA NA 858 2586 1774 NA NA NA NA NA
1558386000.0 10024.3 NA 181 176 0 NA NA NA NA NA NA 566 359 0 NA NA NA NA NA NA 1022 1061 696 NA NA NA NA NA NA 1109 3651 1056 NA NA NA NA NA
1558386000.0 10024.4 NA 180 371 0 NA NA NA NA NA NA 567 774 0 NA NA NA NA NA NA 898 2736 1530 NA NA NA NA NA NA 1224 3212 1763 NA NA NA NA NA
