Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1558299600.0 1000.0 NA 325 180 0 51 NA NA NA 661 286 0 102 NA NA NA 3894 1573 969 452 NA NA NA 2901 1703 1151 685 NA NA
1558299600.0 10002.0 NA 175 364 0 79 NA NA NA 607 713 0 124 NA NA NA 1055 2658 1273 423 NA NA NA 1271 3122 1409 456 NA NA
1558299600.0 10007.0 NA 177 381 0 73 NA NA NA 561 663 0 125 NA NA NA 1233 2675 1459 535 NA NA NA 2382 3103 1720 1386 NA NA
1558299600.0 1001.2 NA 385 128 0 NA NA NA NA 692 215 0 NA NA NA NA 21616 2428 156 NA NA NA NA 10642 1949 319 NA NA NA
1558299600.0 10025.0 NA 186 380 0 76 NA NA NA 605 737 0 123 NA NA NA 1123 3032 1575 505 NA NA NA 1719 3062 1885 764 NA NA
1558299600.0 10026.0 NA 181 386 0 74 NA NA NA 605 759 0 126 NA NA NA 1400 4235 1642 630 NA NA NA 2154 4963 1950 966 NA NA
1558299600.0 1004.0 NA 223 94 0 0 0 0 NA 357 159 0 0 0 0 NA 866 313 71 120 235 284 NA 2394 687 210 254 434 648
1558299600.0 10042.0 NA 179 378 0 68 NA NA NA 517 685 0 125 NA NA NA 1232 3477 1700 518 NA NA NA 1790 3886 2021 1107 NA NA
1558299600.0 10059.0 NA 188 406 0 76 NA NA NA 560 698 0 125 NA NA NA 1348 4934 1434 525 NA NA NA 1790 4103 1603 620 NA NA
1558299600.0 10071.0 NA 188 394 0 80 NA NA NA 562 641 0 125 NA NA NA 1025 3536 1503 542 NA NA NA 885 4284 1640 590 NA NA
1558299600.0 10224.0 NA 347 641 0 NA NA NA NA 576 982 0 NA NA NA NA 5502 5617 1116 NA NA NA NA 2540 3244 1205 NA NA NA
1558299600.0 10225.0 NA 353 594 0 NA NA NA NA 622 955 0 NA NA NA NA 4813 5221 1254 NA NA NA NA 2079 3670 1376 NA NA NA
1558299600.0 103.0 42 0 0 NA NA NA NA 99 0 0 NA NA NA NA 549 399 2014 NA NA NA NA 1048 332 2535 NA NA NA NA
1558299600.0 1030.0 NA 189 49 0 0 NA NA NA 390 93 0 0 NA NA NA 7404 239 65 62 NA NA NA 2735 350 220 124 NA NA
1558299600.0 1040.0 NA 352 31 0 NA NA NA NA 656 73 0 NA NA NA NA 17958 237 212 NA NA NA NA 6304 705 522 NA NA NA
1558299600.0 10424.0 NA 174 383 0 NA NA NA NA 559 745 0 NA NA NA NA 1398 3773 1675 NA NA NA NA 1712 4653 2066 NA NA NA
1558299600.0 106.0 41 0 0 NA NA NA NA 99 0 0 NA NA NA NA 590 417 1953 NA NA NA NA 1134 300 2345 NA NA NA NA
1558299600.0 108.0 94 114 299 NA NA NA NA 196 537 610 NA NA NA NA 4308 914 2786 NA NA NA NA 3397 1496 2834 NA NA NA NA
1558299600.0 10824.6 NA 292 432 0 92 170 NA NA 639 707 0 161 266 NA NA 1982 2492 1895 472 727 NA NA 2278 3064 2154 716 868 NA
1558299600.0 109.0 98 115 298 NA NA NA NA 201 585 607 NA NA NA NA 3340 922 2646 NA NA NA NA 2160 1060 3454 NA NA NA NA
1558299600.0 11.0 NA 129 295 0 71 NA NA NA 592 643 0 121 NA NA NA 2598 2105 681 537 NA NA NA 1336 1770 758 710 NA NA
1558299600.0 11224.0 NA 281 411 0 NA NA NA NA 637 677 0 NA NA NA NA 2562 3491 2532 NA NA NA NA 4142 5010 3288 NA NA NA
1558299600.0 11224.6 NA 296 408 0 NA NA NA NA 681 675 0 NA NA NA NA 2523 3591 2387 NA NA NA NA 3557 5183 2552 NA NA NA
1558299600.0 11623.0 NA 173 369 0 76 NA NA NA 605 748 0 125 NA NA NA 1274 2663 1220 331 NA NA NA 2336 2886 1316 542 NA NA
1558299600.0 11624.0 NA 178 386 0 73 NA NA NA 562 756 0 127 NA NA NA 1365 3171 1257 376 NA NA NA 1886 3096 1343 585 NA NA
1558299600.0 11625.0 NA 178 377 0 80 NA NA NA 516 693 0 122 NA NA NA 1009 2941 1718 466 NA NA NA 941 3532 2517 830 NA NA
1558299600.0 11626.0 NA 186 382 0 73 NA NA NA 607 621 0 131 NA NA NA 1565 4305 1412 622 NA NA NA 1818 6906 1596 903 NA NA
1558299600.0 11642.0 NA 172 373 0 81 NA NA NA 562 591 0 124 NA NA NA 1426 3357 1453 394 NA NA NA 2388 3910 1820 715 NA NA
1558299600.0 12024.0 NA 177 386 0 NA NA NA NA 606 676 0 NA NA NA NA 1336 3188 1243 NA NA NA NA 2082 3126 1423 NA NA NA
1558299600.0 122.0 43 0 0 NA NA NA NA 99 0 0 NA NA NA NA 558 373 1914 NA NA NA NA 950 416 3399 NA NA NA NA
1558299600.0 1303.0 75 147 254 NA NA NA NA 152 553 581 NA NA NA NA 9135 873 2874 NA NA NA NA 4770 888 3189 NA NA NA NA
1558299600.0 1304.18 65 250 200 141 NA NA NA 140 585 612 228 NA NA NA 3810 2642 1601 1086 NA NA NA 2793 3035 1620 1293 NA NA NA
1558299600.0 1304.181 71 255 206 160 NA NA NA 142 632 530 228 NA NA NA 3355 2227 1461 1167 NA NA NA 2486 1932 1473 1196 NA NA NA
1558299600.0 1307.0 NA 140 192 45 0 NA NA NA 600 282 90 0 NA NA NA 558 606 134 266 NA NA NA 1119 923 346 525 NA NA
1558299600.0 1325.0 NA 164 332 0 73 NA NA NA 561 654 0 123 NA NA NA 728 2945 953 454 NA NA NA 487 3391 1677 640 NA NA
1558299600.0 1325.5 NA 165 0 NA NA NA NA NA 266 0 NA NA NA NA NA 5880 206 NA NA NA NA NA 8093 591 NA NA NA NA
1558299600.0 1329.1 NA 181 0 NA NA NA NA NA 315 0 NA NA NA NA NA 8072 236 NA NA NA NA NA 9127 1039 NA NA NA NA
1558299600.0 134.705 NA 46 353 0 NA NA NA NA 102 673 0 NA NA NA NA 326 9698 968 NA NA NA NA 263 4946 1060 NA NA NA
1558299600.0 134.707 NA 39 341 0 NA NA NA NA 101 642 0 NA NA NA NA 329 7774 788 NA NA NA NA 473 5215 877 NA NA NA
1558299600.0 134.804 NA 37 357 0 NA NA NA NA 104 684 0 NA NA NA NA 340 10478 978 NA NA NA NA 455 5053 1142 NA NA NA
1558299600.0 134.806 NA 38 358 0 NA NA NA NA 105 662 0 NA NA NA NA 371 10319 1043 NA NA NA NA 559 5917 1185 NA NA NA
1558299600.0 134.807 NA 114 396 0 NA NA NA NA 211 658 0 NA NA NA NA 1506 11488 1201 NA NA NA NA 1832 5355 1423 NA NA NA
1558299600.0 134.808 NA 138 371 0 NA NA NA NA 226 726 0 NA NA NA NA 1454 12088 1166 NA NA NA NA 1248 5873 1645 NA NA NA
1558299600.0 134.809 NA 38 344 0 NA NA NA NA 101 661 0 NA NA NA NA 368 10168 927 NA NA NA NA 619 5024 1055 NA NA NA
1558299600.0 134.81 NA 36 343 0 NA NA NA NA 101 656 0 NA NA NA NA 370 10421 1172 NA NA NA NA 685 5013 1360 NA NA NA
1558299600.0 134.811 NA 36 355 0 NA NA NA NA 102 670 0 NA NA NA NA 368 9440 1194 NA NA NA NA 757 5175 1537 NA NA NA
1558299600.0 134.904 NA 38 357 0 NA NA NA NA 112 657 0 NA NA NA NA 347 9268 927 NA NA NA NA 413 5049 1034 NA NA NA
1558299600.0 134.908 NA 108 394 0 NA NA NA NA 219 663 0 NA NA NA NA 1335 8736 1071 NA NA NA NA 1159 4792 1296 NA NA NA
1558299600.0 134.91 NA 36 339 0 NA NA NA NA 102 643 0 NA NA NA NA 330 6713 986 NA NA NA NA 680 3836 4074 NA NA NA
1558299600.0 134.99601 NA 42 357 0 NA NA NA NA 97 661 0 NA NA NA NA 367 11453 919 NA NA NA NA 690 5574 1132 NA NA NA
1558299600.0 134.99901 NA 42 339 0 NA NA NA NA 108 664 0 NA NA NA NA 347 6751 1036 NA NA NA NA 788 4890 1180 NA NA NA
1558299600.0 135.1 308 0 122 NA NA NA NA 789 0 219 NA NA NA NA 2636 431 1098 NA NA NA NA 3995 1209 2273 NA NA NA NA
1558299600.0 135.2 268 0 118 NA NA NA NA 850 0 208 NA NA NA NA 1915 323 828 NA NA NA NA 3749 649 1892 NA NA NA NA
1558299600.0 135.3 276 0 136 NA NA NA NA 808 0 223 NA NA NA NA 1242 232 568 NA NA NA NA 1411 305 712 NA NA NA NA
1558299600.0 135.6 317 0 135 NA NA NA NA 852 0 224 NA NA NA NA 1588 250 614 NA NA NA NA 1513 343 699 NA NA NA NA
1558299600.0 1356.0 92 139 350 0 139 NA NA 172 509 713 0 219 NA NA 3341 965 3444 795 925 NA NA 2511 1840 4289 915 1187 NA NA
1558299600.0 136.721 NA 87 347 0 NA NA NA NA 158 668 0 NA NA NA NA 803 9813 1079 NA NA NA NA 1182 4589 1181 NA NA NA
1558299600.0 136.722 NA 83 359 0 NA NA NA NA 156 650 0 NA NA NA NA 837 12317 1116 NA NA NA NA 1476 6084 1304 NA NA NA
1558299600.0 136.723 NA 86 349 0 NA NA NA NA 161 694 0 NA NA NA NA 887 11251 1176 NA NA NA NA 1601 5265 1582 NA NA NA
1558299600.0 136.724 NA 88 364 0 NA NA NA NA 160 769 0 NA NA NA NA 710 13777 1331 NA NA NA NA 1162 5852 2195 NA NA NA
1558299600.0 136.725 NA 86 402 0 NA NA NA NA 163 738 0 NA NA NA NA 803 11976 1184 NA NA NA NA 1651 5773 1333 NA NA NA
