Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1557954000.0 1.0 64 87 192 NA NA NA NA NA NA 944 948 1070 NA NA NA NA NA NA 3114 1177 2880 NA NA NA NA NA NA 3431 1709 3477 NA NA NA NA NA NA
1557954000.0 1000.0 NA 287 171 0 67 NA NA NA NA NA 1203 1093 0 913 NA NA NA NA NA 6462 3036 1914 581 NA NA NA NA NA 6821 3324 1954 636 NA NA NA NA
1557954000.0 10001.0 NA 0 330 0 79 NA NA NA NA NA 0 1222 0 939 NA NA NA NA NA 0 5135 2612 450 NA NA NA NA NA 0 5560 2665 533 NA NA NA NA
1557954000.0 10002.0 NA 0 333 0 77 NA NA NA NA NA 0 1222 0 939 NA NA NA NA NA 0 4095 3370 660 NA NA NA NA NA 0 4508 3486 967 NA NA NA NA
1557954000.0 10003.0 NA 117 331 0 85 NA NA NA NA NA 1021 1225 0 939 NA NA NA NA NA 1207 4533 2643 494 NA NA NA NA NA 1414 4805 2674 572 NA NA NA NA
1557954000.0 10004.0 NA 119 335 0 79 NA NA NA NA NA 1020 1222 0 939 NA NA NA NA NA 1303 6409 2908 580 NA NA NA NA NA 1655 7361 3026 872 NA NA NA NA
1557954000.0 10005.0 NA 118 333 0 76 NA NA NA NA NA 1020 1222 0 939 NA NA NA NA NA 1074 6428 3402 701 NA NA NA NA NA 1294 7263 3515 864 NA NA NA NA
1557954000.0 10006.0 NA 0 320 0 78 NA NA NA NA NA 0 1218 0 937 NA NA NA NA NA 0 6424 3588 608 NA NA NA NA NA 0 7403 3686 794 NA NA NA NA
1557954000.0 10007.0 NA 0 325 0 78 NA NA NA NA NA 0 1223 0 939 NA NA NA NA NA 0 5477 3067 616 NA NA NA NA NA 0 5729 3156 693 NA NA NA NA
1557954000.0 10008.0 NA 117 333 0 79 NA NA NA NA NA 1022 1223 0 939 NA NA NA NA NA 1846 7423 4541 799 NA NA NA NA NA 2340 7894 4700 927 NA NA NA NA
1557954000.0 10009.0 NA NA 337 0 86 NA NA NA NA NA NA 1223 0 939 NA NA NA NA NA NA 5496 3332 557 NA NA NA NA NA NA 5636 3371 638 NA NA NA NA
1557954000.0 1001.0 NA 246 118 0 0 0 0 0 0 NA 1157 980 0 0 0 0 0 0 NA 7612 1423 244 165 276 671 242 688 NA 8171 1707 316 195 322 768 279 712
1557954000.0 1001.2 NA 317 127 0 NA NA NA NA NA NA 1235 992 0 NA NA NA NA NA NA 48928 4355 246 NA NA NA NA NA NA 50014 4557 528 NA NA NA NA NA
