Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1558299600.0 1.0 64 87 191 NA NA 944 948 1070 NA NA 3208 1260 3581 NA NA 4243 1632 4375 NA NA
1558299600.0 10004.0 NA 113 329 0 80 NA 1020 1221 0 938 NA 1617 6577 3814 744 NA 2396 7815 3943 990
1558299600.0 10024.1 NA 118 181 0 NA NA 1025 1047 0 NA NA 1677 3006 1218 NA NA 1884 3831 1471 NA
1558299600.0 10024.3 NA 121 172 0 NA NA 1025 1038 0 NA NA 1935 2604 1114 NA NA 2194 3319 1173 NA
1558299600.0 10024.5 NA 122 91 0 NA NA 1026 950 0 NA NA 2057 1733 455 NA NA 2341 2052 757 NA
1558299600.0 101.0 95 NA NA NA NA 975 NA NA NA NA 2961 NA NA NA NA 3643 NA NA NA NA
1558299600.0 1010.0 NA 30 43 0 NA NA 928 902 0 NA NA 335 320 269 NA NA 641 397 334 NA
1558299600.0 102.0 93 NA NA NA NA 975 NA NA NA NA 2604 NA NA NA NA 3242 NA NA NA NA
1558299600.0 1020.0 NA 41 28 0 49 NA 940 887 0 942 NA 885 356 137 540 NA 2020 1369 172 628
1558299600.0 103.0 49 0 0 NA NA 919 0 0 NA NA 1210 353 5473 NA NA 1290 508 6847 NA NA
1558299600.0 1040.1 NA 69 41 0 NA NA 972 889 0 NA NA 791 416 400 NA NA 1200 531 565 NA
1558299600.0 105.0 63 89 35 NA NA 944 952 890 NA NA 2877 1311 352 NA NA 3104 1923 591 NA NA
1558299600.0 106.0 49 0 0 NA NA 919 0 0 NA NA 1524 471 4471 NA NA 2514 835 5388 NA NA
1558299600.0 10824.5 NA 222 111 0 NA NA 1140 971 0 NA NA 5905 1820 391 NA NA 6701 2379 477 NA
1558299600.0 111.0 64 94 271 NA NA 944 951 1155 NA NA 4825 976 5497 NA NA 6128 1249 6158 NA NA
1558299600.0 112.0 63 91 259 NA NA 944 950 1154 NA NA 4783 1455 5511 NA NA 6303 1720 6346 NA NA
1558299600.0 120.0 57 88 262 NA NA 933 948 1152 NA NA 1516 1322 4583 NA NA 1690 1707 4851 NA NA
1558299600.0 122.0 63 92 266 NA NA 940 950 1154 NA NA 1884 749 5228 NA NA 2520 828 5779 NA NA
