Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1558386000.0 1.0 64 87 195 NA NA NA NA 944 948 1070 NA NA NA NA 2983 902 2998 NA NA NA NA 3644 1038 3273 NA NA NA NA
1558386000.0 10024.1 NA 121 183 0 NA NA NA NA 1025 1047 0 NA NA NA NA 2194 3001 1256 NA NA NA NA 2706 3447 1376 NA NA NA
1558386000.0 10024.3 NA 121 172 0 NA NA NA NA 1025 1038 0 NA NA NA NA 2110 2722 1070 NA NA NA NA 2670 3113 1140 NA NA NA
1558386000.0 10024.5 NA 121 91 0 NA NA NA NA 1026 950 0 NA NA NA NA 2034 1688 474 NA NA NA NA 2469 1961 565 NA NA NA
1558386000.0 1004.0 NA 193 98 0 0 0 0 NA 1100 959 0 0 0 0 NA 3201 903 205 338 883 875 NA 4063 1329 282 442 994 936
1558386000.0 101.0 92 NA NA NA NA NA NA 975 NA NA NA NA NA NA 3024 NA NA NA NA NA NA 3571 NA NA NA NA NA NA
1558386000.0 1010.0 NA 30 42 0 NA NA NA NA 928 902 0 NA NA NA NA 309 438 310 NA NA NA NA 417 653 496 NA NA NA
1558386000.0 102.0 93 NA NA NA NA NA NA 976 NA NA NA NA NA NA 2705 NA NA NA NA NA NA 3161 NA NA NA NA NA NA
1558386000.0 1020.0 NA 44 41 0 43 NA NA NA 940 887 0 942 NA NA NA 582 313 151 797 NA NA NA 726 397 264 1013 NA NA
1558386000.0 1040.1 NA 71 36 0 NA NA NA NA 972 889 0 NA NA NA NA 905 430 404 NA NA NA NA 1125 531 731 NA NA NA
1558386000.0 105.0 62 93 42 NA NA NA NA 944 951 890 NA NA NA NA 3772 1418 350 NA NA NA NA 4226 1655 481 NA NA NA NA
1558386000.0 11623.0 NA 115 320 0 77 NA NA NA 1020 1215 0 937 NA NA NA 1868 6815 4210 654 NA NA NA 2091 7783 4361 991 NA NA
1558386000.0 122.0 63 92 269 NA NA NA NA 940 951 1154 NA NA NA NA 1757 839 4588 NA NA NA NA 2005 959 4856 NA NA NA NA
1558386000.0 130.0 58 90 268 NA NA NA NA 926 948 1153 NA NA NA NA 1810 1378 4449 NA NA NA NA 3438 1778 4774 NA NA NA NA
1558386000.0 1301.0 62 95 201 NA NA NA NA 937 958 1079 NA NA NA NA 3340 1305 3978 NA NA NA NA 3632 1535 4415 NA NA NA NA
1558386000.0 1307.0 NA 94 151 57 0 NA NA NA 997 1017 908 0 NA NA NA 1420 2087 393 871 NA NA NA 1586 2444 481 1011 NA NA
1558386000.0 1308.0 NA 95 154 55 0 NA NA NA 996 1014 907 0 NA NA NA 1296 1588 430 972 NA NA NA 1503 1916 595 1069 NA NA
1558386000.0 131.0 56 92 267 NA NA NA NA 927 951 1153 NA NA NA NA 2784 1043 4170 NA NA NA NA 3345 1144 4413 NA NA NA NA
1558386000.0 1325.1 NA 99 152 0 NA NA NA NA 1005 1016 0 NA NA NA NA 1909 2515 1177 NA NA NA NA 2517 2982 1269 NA NA NA
1558386000.0 1325.3 NA 104 145 0 NA NA NA NA 1005 1011 0 NA NA NA NA 1877 2474 996 NA NA NA NA 2412 2937 1050 NA NA NA
1558386000.0 1325.5 NA 160 0 NA NA NA NA NA 1075 0 NA NA NA NA NA 8327 356 NA NA NA NA NA 8619 388 NA NA NA NA
1558386000.0 1325.51 NA 149 0 NA NA NA NA NA 1068 0 NA NA NA NA NA 5662 487 NA NA NA NA NA 6297 609 NA NA NA NA
1558386000.0 1325.6 NA 203 NA NA NA NA NA NA 1143 NA NA NA NA NA NA 11100 NA NA NA NA NA NA 11573 NA NA NA NA NA
1558386000.0 1325.7 NA 198 0 NA NA NA NA NA 1139 0 NA NA NA NA NA 14633 405 NA NA NA NA NA 15589 467 NA NA NA NA
1558386000.0 1329.1 NA 192 0 NA NA NA NA NA 1125 0 NA NA NA NA NA 10595 324 NA NA NA NA NA 11191 358 NA NA NA NA
1558386000.0 134.813 NA 146 72 0 NA NA NA NA 1049 928 0 NA NA NA NA 4624 738 998 NA NA NA NA 5142 974 1160 NA NA NA
1558386000.0 135.8 95 NA NA NA NA NA NA 963 NA NA NA NA NA NA 1256 NA NA NA NA NA NA 1670 NA NA NA NA NA NA
1558386000.0 136.733 NA 155 80 0 NA NA NA NA 1064 935 0 NA NA NA NA 4157 821 1002 NA NA NA NA 4761 1000 1186 NA NA NA
1558386000.0 136.7611 NA 166 0 NA NA NA NA NA 1084 0 NA NA NA NA NA 11848 472 NA NA NA NA NA 12795 640 NA NA NA NA
1558386000.0 136.7721 NA 156 0 NA NA NA NA NA 1079 0 NA NA NA NA NA 10042 425 NA NA NA NA NA 10487 509 NA NA NA NA
1558386000.0 136.7722 NA 132 0 NA NA NA NA NA 1051 0 NA NA NA NA NA 10558 342 NA NA NA NA NA 11143 426 NA NA NA NA
1558386000.0 136.7801 NA 115 0 NA NA NA NA NA 1012 0 NA NA NA NA NA 1413 889 NA NA NA NA NA 1761 1159 NA NA NA NA
1558386000.0 136.7802 NA 77 0 NA NA NA NA NA 977 0 NA NA NA NA NA 938 555 NA NA NA NA NA 1301 768 NA NA NA NA
1558386000.0 136.7803 NA 110 0 NA NA NA NA NA 1013 0 NA NA NA NA NA 1649 797 NA NA NA NA NA 2399 928 NA NA NA NA
1558386000.0 136.7952 NA 150 0 NA NA NA NA NA 1074 0 NA NA NA NA NA 12641 396 NA NA NA NA NA 13571 451 NA NA NA NA
1558386000.0 136.8311 NA 162 0 NA NA NA NA NA 1080 0 NA NA NA NA NA 5977 306 NA NA NA NA NA 6280 344 NA NA NA NA
1558386000.0 2.0 65 90 196 NA NA NA NA 946 948 1076 NA NA NA NA 10909 1229 3304 NA NA NA NA 11734 1389 3446 NA NA NA NA
1558386000.0 2017.8 111 NA NA NA NA NA NA 976 NA NA NA NA NA NA 1352 NA NA NA NA NA NA 1813 NA NA NA NA NA NA
1558386000.0 2018.8 110 NA NA NA NA NA NA 976 NA NA NA NA NA NA 1334 NA NA NA NA NA NA 1728 NA NA NA NA NA NA
1558386000.0 250199.0 154 NA NA NA NA NA NA 1064 NA NA NA NA NA NA 10920 NA NA NA NA NA NA 11444 NA NA NA NA NA NA
1558386000.0 250199.17 170 NA NA NA NA NA NA 1080 NA NA NA NA NA NA 10197 NA NA NA NA NA NA 10470 NA NA NA NA NA NA
1558386000.0 250399.0 112 NA NA NA NA NA NA 1022 NA NA NA NA NA NA 3619 NA NA NA NA NA NA 4195 NA NA NA NA NA NA
1558386000.0 250399.17 135 NA NA NA NA NA NA 1044 NA NA NA NA NA NA 4768 NA NA NA NA NA NA 5632 NA NA NA NA NA NA
1558386000.0 250399.18 133 NA NA NA NA NA NA 1045 NA NA NA NA NA NA 5186 NA NA NA NA NA NA 5820 NA NA NA NA NA NA
1558386000.0 250408.0 247 0 126 NA NA NA NA 1172 0 1013 NA NA NA NA 5579 849 2264 NA NA NA NA 6872 1001 2609 NA NA NA NA
1558386000.0 4.22 NA 143 76 71 0 NA NA NA 1045 933 972 0 NA NA NA 3560 720 861 902 NA NA NA 4160 1211 1551 1041 NA NA
1558386000.0 4007.0 50 0 0 NA NA NA NA 919 0 0 NA NA NA NA 1244 352 4531 NA NA NA NA 1312 407 4747 NA NA NA NA
1558386000.0 4008.0 50 0 0 NA NA NA NA 919 0 0 NA NA NA NA 1388 530 5572 NA NA NA NA 1497 678 6577 NA NA NA NA
1558386000.0 500199.0 124 NA NA NA NA NA NA 1032 NA NA NA NA NA NA 6533 NA NA NA NA NA NA 7330 NA NA NA NA NA NA
1558386000.0 503.0 40 0 NA NA NA NA NA 898 0 NA NA NA NA NA 666 445 NA NA NA NA NA 877 644 NA NA NA NA NA
1558386000.0 504.0 40 0 NA NA NA NA NA 898 0 NA NA NA NA NA 582 460 NA NA NA NA NA 798 749 NA NA NA NA NA
1558386000.0 505.0 40 0 NA NA NA NA NA 898 0 NA NA NA NA NA 594 461 NA NA NA NA NA 862 631 NA NA NA NA NA
1558386000.0 506.0 40 0 NA NA NA NA NA 898 0 NA NA NA NA NA 573 440 NA NA NA NA NA 755 588 NA NA NA NA NA
1558386000.0 507.0 40 0 NA NA NA NA NA 898 0 NA NA NA NA NA 719 454 NA NA NA NA NA 869 598 NA NA NA NA NA
1558386000.0 508.0 40 0 NA NA NA NA NA 898 0 NA NA NA NA NA 538 430 NA NA NA NA NA 788 631 NA NA NA NA NA
1558386000.0 509.0 40 0 NA NA NA NA NA 897 0 NA NA NA NA NA 543 418 NA NA NA NA NA 768 590 NA NA NA NA NA
1558386000.0 510.0 41 0 NA NA NA NA NA 898 0 NA NA NA NA NA 917 449 NA NA NA NA NA 1025 684 NA NA NA NA NA
1558386000.0 531.0 51 0 NA NA NA NA NA 1008 0 NA NA NA NA NA 518 450 NA NA NA NA NA 801 644 NA NA NA NA NA
1558386000.0 541.0 49 0 NA NA NA NA NA 909 0 NA NA NA NA NA 643 452 NA NA NA NA NA 826 657 NA NA NA NA NA
1558386000.0 545.0 49 0 NA NA NA NA NA 908 0 NA NA NA NA NA 774 461 NA NA NA NA NA 1039 615 NA NA NA NA NA
1558386000.0 560.0 40 0 NA NA NA NA NA 898 0 NA NA NA NA NA 625 439 NA NA NA NA NA 898 610 NA NA NA NA NA
1558386000.0 561.0 40 0 NA NA NA NA NA 898 0 NA NA NA NA NA 599 438 NA NA NA NA NA 807 589 NA NA NA NA NA
1558386000.0 7.0 56 89 137 58 0 NA NA 922 946 993 919 0 NA NA 1794 1024 1580 605 880 NA NA 1947 1918 2394 1131 1075 NA NA
1558386000.0 7.22 57 95 157 64 0 NA NA 922 955 1017 920 0 NA NA 1871 1050 1722 624 1006 NA NA 2048 1695 2457 820 1181 NA NA
1558386000.0 8.2 55 112 180 55 0 NA NA 916 979 1046 908 0 NA NA 1644 1964 2196 441 1519 NA NA 2071 2287 2685 498 1620 NA NA
